name,ticker_purch,tdate_purch,bought_?,s_104,p_104,s_52,p_52,s_26,p_26
"Capito, Shelley M.",CCI,2017/09/08,2017/12/15,2019/12/13,0.191,2018/12/14,0.0319,2018/06/15,-0.0846
"Perdue Jr., David A.",ANDX,2018/09/14,2018/12/21,2020/12/18,,2019/12/20,,2019/06/21,
"Hoeven, John",TWO,2019/11/04,2020/02/10,2022/02/07,-0.6475,2021/02/08,-0.5734,2020/08/10,-0.6238
"Perdue Jr., David A.",HYH,2016/01/26,2016/05/03,2018/05/01,0.7805,2017/05/02,0.4309,2016/11/01,0.2041
"Toomey, Patrick J.",DBP,2014/06/12,2014/09/18,2016/09/15,0.0376,2015/09/17,-0.1185,2015/03/19,-0.0698
"Perdue Jr., David A.",RF,2018/02/06,2018/05/15,2020/05/12,-0.499,2019/05/14,-0.251,2018/11/13,-0.1175
"Perdue Jr., David A.",AAPL,2016/02/03,2016/05/11,2018/05/09,1.0034,2017/05/10,0.6456,2016/11/09,0.1794
"Shalala, Donna",WAFD,2019/03/06,2019/06/12,2021/06/09,0.0126,2020/06/10,-0.1215,2019/12/11,0.1118
"Murray, Patty",XOM,2017/03/16,2017/06/22,2019/06/20,-0.058,2018/06/21,-0.017,2017/12/21,0.0292
"Perdue Jr., David A.",BAX,2015/08/12,2015/11/18,2017/11/15,0.6983,2016/11/16,0.2202,2016/05/18,0.1737
"Capito, Shelley M.",NEE,2017/09/05,2017/12/12,2019/12/10,0.4823,2018/12/11,0.1542,2018/06/12,-0.0108
"Whitehouse, Sheldon",FB,2016/08/05,2016/11/11,2018/11/09,0.2218,2017/11/10,0.4949,2017/05/12,0.2564
"Perdue Jr., David A.",SHLX,2018/02/05,2018/05/14,2020/05/11,-0.4957,2019/05/13,-0.135,2018/11/12,-0.1611
"Capito, Shelley M.",MMM,2018/04/05,2018/07/12,2020/07/09,-0.2306,2019/07/11,-0.1571,2019/01/10,-0.0357
"Whitehouse, Sheldon",KO,2019/06/05,2019/09/11,2021/09/08,0.0305,2020/09/09,-0.0778,2020/03/11,-0.0458
"Perdue Jr., David A.",VSM,2017/05/05,2017/08/11,2019/08/09,,2018/08/10,,2018/02/09,
"Perdue Jr., David A.",FDC,2017/09/14,2017/12/21,2019/12/19,,2018/12/20,,2018/06/21,
"Hoeven, John",SBUX,2017/04/21,2017/07/28,2019/07/26,0.7823,2018/07/27,-0.06,2018/01/26,0.0489
"Collins, Susan M.",AAPL,2014/11/10,2015/02/16,2017/02/13,0.0422,2016/02/15,-0.2516,2015/08/17,-0.0885
"Collins, Susan M.",QCOM,2014/05/07,2014/08/13,2016/08/10,-0.1687,2015/08/12,-0.1642,2015/02/11,-0.0521
"Shalala, Donna",TWTR,2019/03/28,2019/07/04,2021/07/01,0.9092,2020/07/02,-0.1411,2020/01/02,-0.1041
"Collins, Susan M.",BA,2014/03/19,2014/06/25,2016/06/22,0.0365,2015/06/24,0.1249,2014/12/24,0.0277
"Capito, Shelley M.",LOW,2018/04/24,2018/07/31,2020/07/28,0.4926,2019/07/30,0.0406,2019/01/29,-0.0675
"Perdue Jr., David A.",FEYE,2018/06/22,2018/09/28,2020/09/25,-0.2541,2019/09/27,-0.2153,2019/03/29,-0.0095
"Perdue Jr., David A.",MRK,2017/09/29,2018/01/05,2020/01/03,0.6018,2019/01/04,0.326,2018/07/06,0.0906
"Roberts, Pat",AAPL,2014/08/01,2014/11/07,2016/11/04,0.0022,2015/11/06,0.1127,2015/05/08,0.1647
"Whitehouse, Sheldon",V,2014/02/19,2014/05/28,2016/05/25,0.4841,2015/05/27,0.2934,2014/11/26,0.2036
"Reed, John F.",CELG,2015/02/20,2015/05/29,2017/05/26,,2016/05/27,,2015/11/27,
"Perdue Jr., David A.",CIT,2015/03/02,2015/06/08,2017/06/05,,2016/06/06,,2015/12/07,
"Hoeven, John",SPG,2017/01/04,2017/04/12,2019/04/10,0.0595,2018/04/11,-0.1087,2017/10/11,-0.0555
"Perdue Jr., David A.",WLK,2016/07/18,2016/10/24,2018/10/22,0.4447,2017/10/23,0.5885,2017/04/24,0.2359
"Moran, Jerry",AAPL,2018/12/19,2019/03/27,2021/03/24,1.5826,2020/03/25,0.3355,2019/09/25,0.1656
"Whitehouse, Sheldon",VZ,2014/09/18,2014/12/25,2016/12/22,0.1127,2015/12/24,-0.0221,2015/06/25,-0.0034
"Capito, Shelley M.",FANUY,2017/09/08,2017/12/15,2019/12/13,-0.1512,2018/12/14,-0.3684,2018/06/15,-0.1367
"Perdue Jr., David A.",GOOG,2019/03/25,2019/07/01,2021/06/28,1.3015,2020/06/29,0.2459,2019/12/30,0.2207
"Perdue Jr., David A.",DISCA,2015/08/21,2015/11/27,2017/11/24,-0.4306,2016/11/25,-0.1171,2016/05/27,-0.1178
"McConnell Jr., A. M.",WFC,2017/09/07,2017/12/14,2019/12/12,-0.0969,2018/12/13,-0.2026,2018/06/14,-0.0786
"Perdue Jr., David A.",BAX,2015/08/19,2015/11/25,2017/11/22,0.6943,2016/11/23,0.2243,2016/05/25,0.1489
"Perdue Jr., David A.",KN,2015/04/17,2015/07/24,2017/07/21,-0.0253,2016/07/22,-0.0794,2016/01/22,-0.259
"Cassidy, William",AMGN,2016/10/31,2017/02/06,2019/02/04,0.1187,2018/02/05,0.094,2017/08/07,0.0479
"Perdue Jr., David A.",CBS,2015/02/09,2015/05/18,2017/05/15,,2016/05/16,,2015/11/16,
"Whitehouse, Sheldon",C,2014/03/20,2014/06/26,2016/06/23,-0.0718,2015/06/25,0.1949,2014/12/25,0.1521
"Shalala, Donna",WYND,2019/03/06,2019/06/12,2021/06/09,0.4811,2020/06/10,-0.183,2019/12/11,0.1449
"Whitehouse, Sheldon",BAC,2016/02/12,2016/05/20,2018/05/18,1.0947,2017/05/19,0.585,2016/11/18,0.3735
"Whitehouse, Sheldon",DISH,2017/02/10,2017/05/19,2019/05/17,-0.443,2018/05/18,-0.4849,2017/11/17,-0.2003
"Roberts, Pat",NFLX,2014/09/12,2014/12/19,2016/12/16,1.6021,2015/12/18,1.4923,2015/06/19,0.9747
"Roberts, Pat",NVDA,2017/12/07,2018/03/15,2020/03/12,-0.0966,2019/03/14,-0.3309,2018/09/13,0.0898
"Whitehouse, Sheldon",ON,2018/06/13,2018/09/19,2020/09/16,0.1708,2019/09/18,0.0204,2019/03/20,0.1276
"Capito, Shelley M.",GD,2018/04/05,2018/07/12,2020/07/09,-0.2701,2019/07/11,-0.0518,2019/01/10,-0.166
"Hoeven, John",PRU,2019/11/19,2020/02/25,2022/02/22,0.3146,2021/02/23,0.0036,2020/08/25,-0.1911
"Beyer, Donald S.",FLIR,2019/12/23,2020/03/30,2022/03/28,,2021/03/29,,2020/09/28,
"Perdue Jr., David A.",LYV,2016/02/17,2016/05/25,2018/05/23,0.8877,2017/05/24,0.432,2016/11/23,0.1868
