official,ticker,buy_date,sell_date,profit
"Toomey, Patrick J.",XLV,2015/01/30,2015/05/22,5.28
"Shalala, Donna",BOOM,2019/06/04,2019/09/24,-29.67
"Toomey, Patrick J.",ILF,2014/09/02,2014/12/23,-10.95
"Roberts, Pat",COF,2017/09/26,2018/01/16,22.4
"Perdue Jr., David A.",FEYE,2018/06/25,2018/10/15,0.96
"Perdue Jr., David A.",MRK,2018/01/16,2018/05/08,-5.41
"Axne, Cynthia",CVET,2019/02/08,2019/05/31,-17.16
"Collins, Susan M.",DIS,2014/05/07,2014/08/27,8.91
"Perdue Jr., David A.",URBN,2019/12/03,2020/03/24,-9.32
"Hoeven, John",GIS,2017/04/21,2017/08/11,-1.29
"Toomey, Patrick J.",LGP,2014/06/11,2014/10/01,6.99
"Roberts, Pat",COST,2015/03/06,2015/06/26,-11.08
"Hoeven, John",PEP,2017/01/20,2017/05/12,10.13
"Perdue Jr., David A.",MOS,2019/04/03,2019/07/24,-2.91
"Perdue Jr., David A.",HYH,2016/02/04,2016/05/26,5.05
"Collins, Susan M.",AXP,2014/04/23,2014/08/13,0.46
"Capito, Shelley M.",NVS,2017/09/05,2017/12/26,-0.5
"Perdue Jr., David A.",DISCA,2017/11/13,2018/03/05,7.69
"Shalala, Donna",DEO,2019/02/15,2019/06/07,16.48
"Perdue Jr., David A.",BAC,2016/03/07,2016/06/27,-1.08
"Perdue Jr., David A.",T,2019/01/30,2019/05/22,2.58
"Perdue Jr., David A.",DVN,2018/03/27,2018/07/17,12.01
"Perdue Jr., David A.",CZR,2017/07/20,2017/11/09,8.82
"Perdue Jr., David A.",LGF-B,2018/11/30,2019/03/22,-3.5
"Perdue Jr., David A.",URBN,2017/06/08,2017/09/28,7.66
"Perdue Jr., David A.",HBI,2018/12/27,2019/04/18,6.86
"Capito, Shelley M.",CMPGY,2017/09/05,2017/12/26,-0.32
"Cassidy, William",JNJ,2016/03/31,2016/07/21,16.8
"Collins, Susan M.",PEP,2014/05/07,2014/08/27,6.17
"Perdue Jr., David A.",M,2019/08/15,2019/12/05,-1.29
"Miller, Carol D.",CVS,2019/04/11,2019/08/01,2.71
"Inhofe, James M.",RSPP,2015/08/24,2015/12/14,4.12
"Collins, Susan M.",AXP,2015/01/13,2015/05/05,-11.63
"Whitehouse, Sheldon",DEO,2016/11/28,2017/03/20,14.97
"Roberts, Pat",AAPL,2014/08/01,2014/11/21,5.27
"Joyce, David P.",IJH,2019/07/24,2019/11/13,1.7
"Shalala, Donna",AOS,2019/02/20,2019/06/12,-7.46
"Foxx, Virginia",BP,2019/12/23,2020/04/13,-12.91
"Conaway, K. M.",GSLC,2019/12/03,2020/03/24,-13.61
"Perdue Jr., David A.",RF,2017/06/01,2017/09/21,0.56
"Murray, Patty",VZ,2017/03/16,2017/07/06,-6.24
"Cassidy, William",FRT,2017/03/29,2017/07/19,-3.9
"Phillips, Dean",CMCSA,2019/12/30,2020/04/20,-7.47
"Shalala, Donna",BERY,2019/04/30,2019/08/20,-18.8
"Perdue Jr., David A.",INFY,2017/06/22,2017/10/12,-0.1
"Perdue Jr., David A.",DUK,2017/12/26,2018/04/17,-5.7
"Whitehouse, Sheldon",ADI,2017/05/05,2017/08/25,3.76
"Shalala, Donna",LMT,2019/05/20,2019/09/09,43.4
"Whitehouse, Sheldon",MCK,2016/10/26,2017/02/15,-10.13
"Reed, John F.",HOLX,2018/11/28,2019/03/20,3.23
