official,ticker,buy_date,sell_date,profit
"Shalala, Donna",NOV,2019/02/15,2019/03/15,-2.82
"Whitehouse, Sheldon",UL,2014/10/07,2014/11/04,-0.61
"Whitehouse, Sheldon",VDC,2014/05/09,2014/06/06,2.39
"Collins, Susan M.",MCHP,2014/06/19,2014/07/17,-0.3
"Perdue Jr., David A.",QCOM,2015/08/24,2015/09/21,-0.84
"Capito, Shelley M.",T,2017/09/05,2017/10/03,2.1
"Perdue Jr., David A.",LGF-B,2018/11/26,2018/12/24,-3.96
"Hoeven, John",CAT,2018/03/05,2018/04/02,-3.38
"Carper, Thomas R.",NWL,2017/08/31,2017/09/28,-6.47
"Capito, Shelley M.",GD,2016/04/19,2016/05/17,9.44
"Perdue Jr., David A.",T,2019/01/31,2019/02/28,1.5
"Perdue Jr., David A.",DVN,2015/07/29,2015/08/26,-12.99
"Roberts, Pat",NFLX,2014/03/06,2014/04/03,-13.7
"Moran, Jerry",0QZI.IL,2019/09/25,2019/10/23,4.14
"Shalala, Donna",FII,2019/03/06,2019/04/03,-0.02
"Whitehouse, Sheldon",T,2018/06/13,2018/07/11,-0.57
"Inhofe, James M.",FLR,2017/05/17,2017/06/14,0.28
"Hoeven, John",HAS,2016/08/22,2016/09/19,-3.03
"Beyer, Donald S.",FANUF,2019/12/24,2020/01/21,-1.64
"Roberts, Pat",ZNGA,2014/11/07,2014/12/05,0.02
"Perdue Jr., David A.",FDX,2019/06/26,2019/07/24,19.07
"Perdue Jr., David A.",FE,2016/05/05,2016/06/02,-0.49
"Courtney, Joe",MCHP,2019/12/31,2020/01/28,-0.08
"Perdue Jr., David A.",SLB,2017/10/30,2017/11/27,-2.53
"Perdue Jr., David A.",BWXT,2018/12/13,2019/01/10,-1.87
"Capito, Shelley M.",CB,2018/04/24,2018/05/22,-1.83
"Perdue Jr., David A.",FDX,2019/04/03,2019/05/01,1.59
"Capito, Shelley M.",VFC,2018/04/05,2018/05/03,1.86
"Perdue Jr., David A.",MPLX,2016/04/22,2016/05/20,-0.16
"Courtney, Joe",JPM,2019/12/31,2020/01/28,-5.16
"Roberts, Pat",TJX,2017/07/24,2017/08/21,1.64
"Perdue Jr., David A.",URBN,2017/06/01,2017/06/29,-0.82
"Perdue Jr., David A.",FEYE,2016/10/19,2016/11/16,1.21
