official,ticker,buy_date,profit,sell_date
"Gottheimer, Josh",TCEHY,2020/06/02,1.51,2021/12/28
"Capito, Shelley M.",MRAAY,2017/09/08,0.32,2019/03/11
"Murray, Patty",STT,2017/03/16,8.34,2017/06/15
"Frankel, Lois",WSO,2020/03/03,63.38,2020/07/24
"Green, Mark",CEQP,2020/07/08,3.68,2020/10/22
"Perdue Jr., David A.",MOS,2017/07/03,12.86,2018/11/13
"Perdue Jr., David A.",MOS,2017/12/12,5.26,2018/08/17
"Perdue Jr., David A.",MOS,2016/02/17,6.12,2018/08/14
"Perdue Jr., David A.",MOS,2016/11/07,5.36,2018/08/03
"Perdue Jr., David A.",MOS,2017/05/02,4.5,2018/08/01
"Perdue Jr., David A.",MOS,2018/01/16,5.01,2018/08/07
"Perdue Jr., David A.",MOS,2017/04/12,2.71,2018/12/13
"Perdue Jr., David A.",MOS,2017/04/11,2.9,2018/08/08
"Perdue Jr., David A.",MOS,2017/03/10,0.82,2018/08/15
"Perdue Jr., David A.",MOS,2015/04/15,-14.12,2018/08/10
"Courtney, Joe",PEP,2020/03/18,15.32,2020/08/07
"Cassidy, William",MDT,2017/10/24,25.4,2020/11/05
"Cassidy, William",MDT,2019/01/25,6.28,2020/03/09
"Beyer, Donald S.",DIS,2020/01/27,-19.56,2020/07/14
"Beyer, Donald S.",DIS,2020/02/19,-36.83,2020/05/07
"Inhofe, James M.",XPO,2018/02/22,12.13,2018/09/28
"Inhofe, James M.",XPO,2018/10/25,-22.31,2018/12/13
"Beyer, Donald S.",C,2020/01/27,-25.38,2020/07/14
"Beyer, Donald S.",C,2019/12/23,-32.86,2020/05/01
"Beyer, Donald S.",C,2020/02/14,-42.39,2020/03/23
"Beyer, Donald S.",C,2020/01/09,-36.06,2020/05/07
"Phillips, Dean",CRM,2020/09/23,-15.95,2020/12/18
"Lee, Susie",CCI,2020/08/27,0.61,2021/02/12
"Perdue Jr., David A.",MU,2018/12/19,15.08,2020/04/14
"Cassidy, William",ABT,2016/03/31,13.87,2017/10/24
"Gottheimer, Josh",MSFT,2020/03/17,194.7,2021/11/15
"Gottheimer, Josh",MSFT,2020/03/20,74.4,2020/11/17
"Gottheimer, Josh",MSFT,2020/03/24,39.64,2020/05/18
"Gottheimer, Josh",MSFT,2020/03/12,-4.54,2020/03/20
"Gottheimer, Josh",MSFT,2020/03/06,132.86,2021/08/16
"Gottheimer, Josh",MSFT,2020/02/26,60.5,2021/02/25
"Gottheimer, Josh",MSFT,2020/02/13,79.55,2021/06/22
"Gottheimer, Josh",MSFT,2020/11/17,107.46,2021/12/06
"Whitehouse, Sheldon",DISH,2017/08/24,-3.03,2017/09/20
"Whitehouse, Sheldon",DISH,2017/02/10,-8.93,2017/12/05
"Clark, Katherine M.",ORCL,2020/11/05,30.05,2021/09/16
