name,ticker_purch,tdate_purch,bought_?,s_104,p_104,s_52,p_52,s_26,p_26
"Courtney, Joe",GOOGL,2019/12/31,2019/12/31,2021/12/28,1.2026,2020/12/29,0.3258,2020/06/30,0.0517
"Perdue Jr., David A.",VSM,2017/04/27,2017/04/27,2019/04/25,,2018/04/26,,2017/10/26,
"Collins, Susan M.",UNP,2014/05/07,2014/05/07,2016/05/04,-0.0826,2015/05/06,0.1355,2014/11/05,0.2328
"Perdue Jr., David A.",CLX,2018/04/20,2018/04/20,2020/04/17,0.6433,2019/04/19,0.319,2018/10/19,0.3076
"Shalala, Donna",BAYRY,2019/02/15,2019/02/15,2021/02/12,-0.1483,2020/02/14,0.0979,2019/08/16,-0.0671
"Perdue Jr., David A.",T,2019/01/31,2019/01/31,2021/01/28,-0.0125,2020/01/30,0.2453,2019/08/01,0.1583
"Joyce, David P.",IJH,2019/07/24,2019/07/24,2021/07/21,0.3554,2020/07/22,-0.0603,2020/01/22,0.0597
"Shalala, Donna",DNTUY,2019/01/15,2019/01/15,2021/01/12,-0.3942,2020/01/14,-0.2623,2019/07/16,-0.2597
"Perdue Jr., David A.",BMY,2019/07/15,2019/07/15,2021/07/12,0.5218,2020/07/13,0.3088,2020/01/13,0.4936
"Perdue Jr., David A.",GM,2016/07/21,2016/07/21,2018/07/19,0.2273,2017/07/20,0.133,2017/01/19,0.1653
"Toomey, Patrick J.",CVX,2014/12/31,2014/12/31,2016/12/28,0.0523,2015/12/30,-0.1956,2015/07/01,-0.1453
"Perdue Jr., David A.",HBI,2018/12/27,2018/12/27,2020/12/24,0.2134,2019/12/26,0.2309,2019/06/27,0.4085
"Collins, Susan M.",HOLX,2016/12/01,2016/12/01,2018/11/29,0.1732,2017/11/30,0.1077,2017/06/01,0.1526
"Inhofe, James M.",CVS,2017/09/15,2017/09/15,2019/09/13,-0.2242,2018/09/14,-0.0621,2018/03/16,-0.1986
"Roberts, Pat",BIDU,2015/07/27,2015/07/27,2017/07/24,-0.007,2016/07/25,-0.1953,2016/01/25,-0.1367
"Shalala, Donna",EXEL,2019/01/09,2019/01/09,2021/01/06,-0.0715,2020/01/08,-0.1956,2019/07/10,-0.104
"Collins, Susan M.",UTX,2014/04/03,2014/04/03,2016/03/31,,2015/04/02,,2014/10/02,
