	transaction_date	owner	ticker	asset_description	asset_type	type	amount	comment	senator	ptr_link	disclosure_date	disclosure_year	representative	district	cap_gains_over_200_usd
16485	2021/03/22	joint	BX	The Blackstone Group In Class A		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018534.pdf	2021/04/21	2021.0	Hon. Josh Gottheimer	NJ05	False
16552	2020/06/03		UBER	Uber Technologies, Inc.		Sale (Full)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016805.pdf	2020/06/17	2020.0	Hon. Michael Garcia	CA25	True
16587	2020/01/13	joint	LUKOY	Lukoil Co Sponsored ADR		Purchase	$15,001 - $50,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20015054.pdf	2020/02/14	2020.0	Hon. Greg Gianforte	MT00	False
16595	2020/01/13	joint	SSL	Sasol Ltd. American Depositary Shares		Purchase	$50,001 - $100,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20015054.pdf	2020/02/14	2020.0	Hon. Greg Gianforte	MT00	False
16596	2020/01/13	joint	SLB	Schlumberger N.V.		Purchase	$15,001 - $50,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20015054.pdf	2020/02/14	2020.0	Hon. Greg Gianforte	MT00	False
16659	2021/08/02	self	NVDA	NVIDIA Corporation		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019336.pdf	2021/08/15	2021.0	Hon. Pete Sessions	TX17	False
16693	2020/02/28		ADS	Alliance Data Systems Corporation		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016196.pdf	2020/03/12	2020.0	Hon. Dean Phillips	MN03	False
16696	2020/02/10		BRK.B	Berkshire Hathaway Inc. New		Sale (Partial)	$15,001 - $50,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016196.pdf	2020/03/12	2020.0	Hon. Dean Phillips	MN03	False
16705	2020/02/10		SCHW	Charles Schwab Corporation		Sale (Partial)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016196.pdf	2020/03/12	2020.0	Hon. Dean Phillips	MN03	False
16706	2020/02/24		SCHW	Charles Schwab Corporation		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016196.pdf	2020/03/12	2020.0	Hon. Dean Phillips	MN03	False
16707	2020/02/10		CB	Chubb Limited		Sale (Partial)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016196.pdf	2020/03/12	2020.0	Hon. Dean Phillips	MN03	False
16709	2020/02/28		CMA	Comerica Incorporated		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016196.pdf	2020/03/12	2020.0	Hon. Dean Phillips	MN03	False
16729	2020/02/10		JPM	JP Morgan Chase & Co.		Sale (Partial)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016196.pdf	2020/03/12	2020.0	Hon. Dean Phillips	MN03	False
16736	2020/02/28		L	Loews Corporation		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016196.pdf	2020/03/12	2020.0	Hon. Dean Phillips	MN03	False
16741	2020/02/28		NTRS	Northern Trust Corporation		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016196.pdf	2020/03/12	2020.0	Hon. Dean Phillips	MN03	False
16742	2020/02/10		NTRS	Northern Trust Corporation		Sale (Partial)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016196.pdf	2020/03/12	2020.0	Hon. Dean Phillips	MN03	False
16770	2020/02/28		WFC	Wells Fargo & Company		Sale (Partial)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016196.pdf	2020/03/12	2020.0	Hon. Dean Phillips	MN03	False
16771	2020/02/21		WFC	Wells Fargo & Company		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016196.pdf	2020/03/12	2020.0	Hon. Dean Phillips	MN03	False
16772	2020/02/20		WFC	Wells Fargo & Company		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016196.pdf	2020/03/12	2020.0	Hon. Dean Phillips	MN03	False
16773	2020/02/21		WFC	Wells Fargo & Company		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016196.pdf	2020/03/12	2020.0	Hon. Dean Phillips	MN03	False
16774	2020/02/24		WFC	Wells Fargo & Company		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016196.pdf	2020/03/12	2020.0	Hon. Dean Phillips	MN03	False
16983	2020/02/03	self	AAPL	Apple Inc.		Sale (Partial)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016365.pdf	2020/04/06	2020.0	Hon. Ed Perlmutter	CO07	True
16984	2020/02/03	self	FB	Facebook, Inc. - Class A		Sale (Partial)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016365.pdf	2020/04/06	2020.0	Hon. Ed Perlmutter	CO07	False
16998	2020/05/04	Dependent	AMD	Advanced Micro Devices, Inc.		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016692.pdf	2020/06/03	2020.0	Hon. Roger W. Marshall	KS01	False
16999	2020/05/12	Dependent	AMD	Advanced Micro Devices, Inc.		Sale (Full)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016692.pdf	2020/06/03	2020.0	Hon. Roger W. Marshall	KS01	False
17081	2020/04/06	--	CVX	Chevron Corporation		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016445.pdf	2020/04/27	2020.0	Hon. Susan W. Brooks	IN05	False
17084	2020/04/06	--	XOM	Exxon Mobil Corporation		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016445.pdf	2020/04/27	2020.0	Hon. Susan W. Brooks	IN05	False
17818	2020/09/08		AAPL	Apple Inc.		Sale (Partial)	$15,001 - $50,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017620.pdf	2020/11/06	2020.0	Hon. Christopher L. Jacobs	NY27	True
17820	2020/09/08		BAND	Bandwidth Inc. - Class A		Sale (Full)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017620.pdf	2020/11/06	2020.0	Hon. Christopher L. Jacobs	NY27	True
17929	2021/04/14		CVX	Chevron Corporation		Sale (Full)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018465.pdf	2021/04/27	2021.0	Hon. William R. Keating	MA09	False
17930	2021/03/17		CVX	Chevron Corporation		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018465.pdf	2021/04/27	2021.0	Hon. William R. Keating	MA09	False
17959	2021/03/17		SU	Suncor Energy Inc		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018465.pdf	2021/04/27	2021.0	Hon. William R. Keating	MA09	False
17960	2021/04/14		SU	Suncor Energy Inc		Sale (Full)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018465.pdf	2021/04/27	2021.0	Hon. William R. Keating	MA09	False
18329	2021/10/21		CLNE	Clean Energy Fuels Corp		Sale (Full)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019670.pdf	2021/10/21	2021.0	Hon. Austin Scott	GA08	False
18658	2021/06/29		CDEV	Centennial Resource Development, Inc - Class A		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019144.pdf	2021/08/13	2021.0	Hon. Christopher L. Jacobs	NY27	False
18701	2021/07/01		CLNE	Clean Energy Fuels Corp		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019330.pdf	2021/08/13	2021.0	Hon. Austin Scott	GA08	False
18764	2020/04/20	joint	MSFT	Microsoft Corporation		Sale (Full)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016587.pdf	2020/05/12	2020.0	Hon. Donald Sternoff Beyer	VA08	False
18766	2020/04/27	joint	TDOC	Teladoc Health, Inc.		Sale (Full)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016587.pdf	2020/05/12	2020.0	Hon. Donald Sternoff Beyer	VA08	False
18777	2020/03/26		XOM	Exxon		Sale (Full)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217211.pdf	2020/05/12	2020.0	Hon. Fred Upton	MI06	False
18781	2020/03/26		EOG	EOG Resources		Sale (Full)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217211.pdf	2020/05/12	2020.0	Hon. Fred Upton	MI06	False
18787	2020/11/12	self	MSFT	Microsoft Corporation		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017902.pdf	2020/12/22	2020.0	Hon. Ed Perlmutter	CO07	False
18899	2021/09/08		MSFT	Microsoft Corporation - 30 shares		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020443.pdf	2022/02/11	2022.0	Hon. Pete Sessions	TX17	False
18900	2021/08/19		MSFT	Microsoft Corporation - 25 shares		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020443.pdf	2022/02/11	2022.0	Hon. Pete Sessions	TX17	False
18906	2021/11/16		TSM	Taiwan Semiconductor Manufacturing Company Ltd		Sale (Full)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020443.pdf	2022/02/11	2022.0	Hon. Pete Sessions	TX17	False
18981	2020/08/04	joint	LUKOY	Lukoil Co Sponsored ADR		Sale (Partial)	$15,001 - $50,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017218.pdf	2020/08/18	2020.0	Hon. Greg Gianforte	MT00	False
19071	2020/06/24	joint	ASML	ASML Holding N.V. - New York Registry Shares		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016885.pdf	2020/07/03	2020.0	Hon. Donald Sternoff Beyer	VA08	False
19075	2020/06/24	joint	FLIR	FLIR Systems, Inc.		Sale (Full)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016885.pdf	2020/07/03	2020.0	Hon. Donald Sternoff Beyer	VA08	False
19116	2020/01/07		XOM	Exxon Mobil Corp		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8216960.pdf	2020/02/06	2020.0	Hon. Kurt Schrader	OR05	False
19279	2021/09/15	self	BRK.B	Berkshire Hathaway Inc		Sale (Partial)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019693.pdf	2021/10/26	2021.0	Hon. Ed Perlmutter	CO07	False
19280	2021/09/23		COIN	Coinbase Global Inc - Class A		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019693.pdf	2021/10/26	2021.0	Hon. Ed Perlmutter	CO07	False
19384	2020/06/25	joint	SCHW	Charles Schwab Corporation		Sale (Partial)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016893.pdf	2020/07/09	2020.0	Hon. Josh Gottheimer	NJ05	False
19394	2020/06/15	joint	BEN	Franklin Resources, Inc.		Sale (Partial)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016893.pdf	2020/07/09	2020.0	Hon. Josh Gottheimer	NJ05	False
19398	2020/06/03	joint	ITUB	Itau Unibanco Banco Holding SA American Depositary Shares		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016893.pdf	2020/07/09	2020.0	Hon. Josh Gottheimer	NJ05	False
19399	2020/06/02	joint	ITUB	Itau Unibanco Banco Holding SA American Depositary Shares		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016893.pdf	2020/07/09	2020.0	Hon. Josh Gottheimer	NJ05	False
19401	2020/06/22	joint	MKTX	MarketAxess Holdings, Inc.		Sale (Partial)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016893.pdf	2020/07/09	2020.0	Hon. Josh Gottheimer	NJ05	True
19772	2021/04/05	joint	LPRO	Opens Lending Corporation - Class A		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018699.pdf	2021/05/07	2021.0	Hon. Josh Gottheimer	NJ05	False
19773	2021/04/28	joint	PYPL	Paypal Holdings Inc		Sale (Partial)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018699.pdf	2021/05/07	2021.0	Hon. Josh Gottheimer	NJ05	False
19805	2021/03/03	joint	CDNS	Cadence Design Systems Inc		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018431.pdf	2021/04/01	2021.0	Hon. Donald Sternoff Honorable Beyer	VA08	False
19824	2021/03/03	joint	SPLK	Splunk Inc		Sale (Full)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018431.pdf	2021/04/01	2021.0	Hon. Donald Sternoff Honorable Beyer	VA08	False
19850	2021/03/16		EPD	Enterprise Products partners		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217927.pdf	2021/04/01	2021.0	Hon. Kurt Schrader	OR05	False
19851	2021/03/16		CVX	Chevron Corp		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217927.pdf	2021/04/01	2021.0	Hon. Kurt Schrader	OR05	False
19878	2021/02/05		CVX	Chevron Corp		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217928.pdf	2021/04/01	2021.0	Hon. Kurt Schrader	OR05	False
19896	2021/02/05		KMI	Kinder Morgan Inc Del		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217928.pdf	2021/04/01	2021.0	Hon. Kurt Schrader	OR05	False
20050	2020/11/16	joint	SCHW	Charles Schwab Corporation		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017827.pdf	2020/12/09	2020.0	Hon. Josh Gottheimer	NJ05	False
20062	2020/11/13	joint	MKTX	MarketAxess Holdings, Inc.		Sale (Partial)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017827.pdf	2020/12/09	2020.0	Hon. Josh Gottheimer	NJ05	True
20087	2020/11/06	joint	SNOW	Snowflake Inc. Class A		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017827.pdf	2020/12/09	2020.0	Hon. Josh Gottheimer	NJ05	False
20088	2020/11/11	joint	SNOW	Snowflake Inc. Class A		Sale (Full)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017827.pdf	2020/12/09	2020.0	Hon. Josh Gottheimer	NJ05	False
20138	2021/09/15	joint	ALIZY	Allianz SE ADR		Sale (Partial)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019593.pdf	2021/10/13	2021.0	Hon. Josh Gottheimer	NJ05	False
20142	2021/09/01	joint	SCHW	Charles Schwab Corporation		Sale (Partial)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019593.pdf	2021/10/13	2021.0	Hon. Josh Gottheimer	NJ05	False
20175	2021/10/18	joint	ALIZY	Allianz SE ADR		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019761.pdf	2021/11/15	2021.0	Hon. Josh Gottheimer	NJ05	False
20180	2021/10/12	joint	BX	Blackstone Inc		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019761.pdf	2021/11/15	2021.0	Hon. Josh Gottheimer	NJ05	False
20193	2021/10/29	joint	MA	Mastercard Incorporated		Sale (Partial)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019761.pdf	2021/11/15	2021.0	Hon. Josh Gottheimer	NJ05	False
20208	2021/10/27	joint	PYPL	PayPal Holdings Inc		Sale (Partial)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019761.pdf	2021/11/15	2021.0	Hon. Josh Gottheimer	NJ05	False
20209	2021/10/22	joint	PYPL	PayPal Holdings Inc		Sale (Partial)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019761.pdf	2021/11/15	2021.0	Hon. Josh Gottheimer	NJ05	False
20210	2021/10/21	joint	PYPL	PayPal Holdings Inc		Sale (Partial)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019761.pdf	2021/11/15	2021.0	Hon. Josh Gottheimer	NJ05	False
20211	2021/10/20	joint	PYPL	PayPal Holdings Inc		Sale (Partial)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019761.pdf	2021/11/15	2021.0	Hon. Josh Gottheimer	NJ05	False
20230	2021/05/11	self	GOOG	Alphabet Inc - Class C Capital Stock		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018974.pdf	2021/06/25	2021.0	Hon. Ed Perlmutter	CO07	False
20254	2021/11/26	joint	NVDA	NVIDIA Corporation		Sale (Full)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019895.pdf	2021/12/02	2021.0	Hon. Donald Sternoff Honorable Beyer	VA08	False
20255	2021/11/26	joint	SQ	Square Inc Class A		Sale (Full)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019895.pdf	2021/12/02	2021.0	Hon. Donald Sternoff Honorable Beyer	VA08	False
20256	2021/11/01	joint	SQ	Square Inc Class A		Sale (Full)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019895.pdf	2021/12/02	2021.0	Hon. Donald Sternoff Honorable Beyer	VA08	False
20257	2021/11/26	joint	TDOC	Teladoc Health Inc		Sale (Full)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019895.pdf	2021/12/02	2021.0	Hon. Donald Sternoff Honorable Beyer	VA08	False
20300	2021/09/02	self	ACN	Accenture plc Class A ordinary shares		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019592.pdf	2021/10/07	2021.0	Hon. Zoe Lofgren	CA19	False
20301	2021/09/02	self	ADBE	Adobe Inc		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019592.pdf	2021/10/07	2021.0	Hon. Zoe Lofgren	CA19	False
20307	2021/09/30	self	AMAT	Applied Materials Inc		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019592.pdf	2021/10/07	2021.0	Hon. Zoe Lofgren	CA19	False
20309	2021/09/30	self	ASML	ASML Holding NV - New York Registry Shares		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019592.pdf	2021/10/07	2021.0	Hon. Zoe Lofgren	CA19	False
20317	2021/09/30	self	CSCO	Cisco System Inc		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019592.pdf	2021/10/07	2021.0	Hon. Zoe Lofgren	CA19	False
20342	2021/09/02	self	NXPI	NXP Semiconductors NV		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019592.pdf	2021/10/07	2021.0	Hon. Zoe Lofgren	CA19	False
20347	2021/09/30	self	QCOM	QUALCOMM Incorporated		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019592.pdf	2021/10/07	2021.0	Hon. Zoe Lofgren	CA19	False
20369	2021/01/11	joint	ASML	ASML Holding N.V. - New York Registry Shares		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018096.pdf	2021/01/31	2021.0	Hon. Donald Sternoff Honorable Beyer	VA08	False
20388	2021/01/15	joint	NVDA	NVIDIA Corporation		Sale (Full)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018096.pdf	2021/01/31	2021.0	Hon. Donald Sternoff Honorable Beyer	VA08	False
20389	2021/01/11	joint	NVDA	NVIDIA Corporation		Sale (Full)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018096.pdf	2021/01/31	2021.0	Hon. Donald Sternoff Honorable Beyer	VA08	True
20390	2021/01/11	joint	SPLK	Splunk Inc.		Sale (Full)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018096.pdf	2021/01/31	2021.0	Hon. Donald Sternoff Honorable Beyer	VA08	False
20397	2019/12/23	joint	ACN	Accenture plc Class A Ordinary Shares		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20013832.pdf	2020/01/02	2020.0	Hon. Donald Sternoff Beyer	VA08	False
20398	2019/12/23	joint	GOOG	Alphabet Inc. - Class C Capital Stock		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20013832.pdf	2020/01/02	2020.0	Hon. Donald Sternoff Beyer	VA08	False
20399	2019/12/23	joint	AAPL	Apple Inc.		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20013832.pdf	2020/01/02	2020.0	Hon. Donald Sternoff Beyer	VA08	False
20408	2019/12/24	joint	CGNX	Cognex Corporation		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20013832.pdf	2020/01/02	2020.0	Hon. Donald Sternoff Beyer	VA08	False
20415	2019/12/23	joint	FLIR	FLIR Systems, Inc.		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20013832.pdf	2020/01/02	2020.0	Hon. Donald Sternoff Beyer	VA08	False
20421	2019/12/24	joint	MSFT	Microsoft Corporation		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20013832.pdf	2020/01/02	2020.0	Hon. Donald Sternoff Beyer	VA08	False
20428	2019/12/24	joint	NVDA	NVIDIA Corporation		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20013832.pdf	2020/01/02	2020.0	Hon. Donald Sternoff Beyer	VA08	False
20430	2019/12/24	joint	SPLK	Splunk Inc.		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20013832.pdf	2020/01/02	2020.0	Hon. Donald Sternoff Beyer	VA08	False
20432	2019/12/23	joint	TDOC	Teladoc Health, Inc.		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20013832.pdf	2020/01/02	2020.0	Hon. Donald Sternoff Beyer	VA08	False
20463	2020/03/24	joint	FLIR	FLIR Systems, Inc.		Sale (Full)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016371.pdf	2020/04/07	2020.0	Hon. Donald Sternoff Beyer	VA08	False
20523	2020/03/18	joint	VOPKY	Koninklijke Vopak NV Rotterdam Unsponsored ADR		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016366.pdf	2020/04/07	2020.0	Hon. Greg Gianforte	MT00	False
20532	2020/03/18	joint	NTOIY	Neste Oil OYJ Unsponsored ADR		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016366.pdf	2020/04/07	2020.0	Hon. Greg Gianforte	MT00	False
20549	2020/03/18	joint	REPYY	Repsol S.A. Sponsored ADR		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016366.pdf	2020/04/07	2020.0	Hon. Greg Gianforte	MT00	False
20574	2020/03/19	joint	TOT	Total S.A.		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016366.pdf	2020/04/07	2020.0	Hon. Greg Gianforte	MT00	False
20784	2020/12/18		CFG	Citizen Financial Group		Sale (Partial)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20017991.pdf	2021/01/09	2021.0	Hon. Dean Phillips	MN03	True
20803	2020/12/16		JPM	JP Morgan & Chase		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20017991.pdf	2021/01/09	2021.0	Hon. Dean Phillips	MN03	False
21183	2021/09/20	joint	CDNS	Cadence Design Systems Inc		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019506.pdf	2021/10/01	2021.0	Hon. Donald Sternoff Honorable Beyer	VA08	False
21184	2021/09/17	joint	CGNX	Cognex Corporation		Sale (Full)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019506.pdf	2021/10/01	2021.0	Hon. Donald Sternoff Honorable Beyer	VA08	False
21193	2021/09/17	joint	SQ	Square Inc Class A		Sale (Full)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019506.pdf	2021/10/01	2021.0	Hon. Donald Sternoff Honorable Beyer	VA08	False
21282	2019/12/19		SPN	Superior Energy services, Inc.		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20013885.pdf	2020/01/09	2020.0	Hon. Bill Flores	TX17	False
21285	2019/12/02	Dependent	AAPL	Apple Inc.		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20013879.pdf	2020/01/09	2020.0	Hon. Roger W. Marshall	KS01	False
21286	2019/12/06	Dependent	AAPL	Apple Inc.		Sale (Full)	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20013879.pdf	2020/01/09	2020.0	Hon. Roger W. Marshall	KS01	False
21287	2019/12/03	Dependent	AAPL	Apple Inc.		Purchase	$1,001 - $15,000			https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20013879.pdf	2020/01/09	2020.0	Hon. Roger W. Marshall	KS01	False
