official,Banks - Regional,Basic Materials,Communication Services,Communications,Consumer Cyclical,Consumer Defensive,Consumer Discretionary,Consumer Goods,Consumer Staples,Cryptocurrency,Energy,Financial,Financial Services,Fund,Healthcare,Induistrial,Industrial Goods,Industrials,Information Technology,Medical,Oil & Gas Storage & Trpor,Real Estate,Retail/Wholesale,Services,Technology,Trust,Utilities
"McCaul, Michael T.",,2,22,,16,12,,,,,31,,52,4,38,,,57,,,,2,,,53,1,
"McConnell Jr., A. M.",,1,,,,,,,,,,,16,,,,,1,,,,,,,,,
"McEachin, Aston D.",,,,,1,,,,,,,,1,,,,,,,,,,,,3,,1
"McHenry, Patrick T.",,,,,,,,,,,,,,,,,,,,,,,,,,,1
"McKinley, David B.",,13,,,23,17,,,,,,,7,,16,,,34,,,,,,,37,,
"Meijer, Peter",,17,6,,27,24,,,,,8,,50,1,42,,,28,,,,5,,,45,,9
"Meng, Grace",,,,,,,,,,,,,,,,,,1,,,,,,,,,
"Meuser, Daniel",,,,,1,2,,,,,,,2,1,2,,,1,,,,,,,1,,
"Miller, Carol D.",,2,,,2,12,,,,,4,,2,,8,,,5,,,,,,,4,,3
"Moore, Blake",,,,,42,3,,,,,,,21,2,5,,,5,,,,,,,33,,
"Moore, Felix B.",,,,,,,,,,6,,,,,,,,,,,,,,,,,
"Moran, Jerry",,4,13,,9,22,,,,,21,,45,3,26,,,,,,,,,,29,,
"Morelle, Joseph D.",,,1,,1,1,,,,,1,,3,,3,,,1,,,,,,,5,,1
"Murray, Patty",,4,7,,18,20,,1,,,16,,27,,21,,,16,,,,6,,,15,,10
"Newhouse, Dan",,,,,,1,,,,,,,,,,,,,,,,,,,,,
"Newman, Marie",,,15,,125,9,,,,,4,,28,1,15,,,29,,,,2,,,62,1,4
"O'Halleran, Tom",,1,,,,,,,,,,,,,,,,1,,,,,,,,,
"Pallone, Frank",,,,,1,3,,,,,1,,1,,,,,2,,,,,,,1,,1
"Pascrell, Bill",,,,,,,,,,,,,1,,1,,,1,,,,,,,,,
"Pelosi, Nancy",,,2,,8,,,,,,,,10,,,,,1,,,,,,,31,,
"Perdue Jr., David A.",,184,99,,520,133,,,,,371,,154,32,188,,,241,,,,9,,49,287,,12
"Perlmutter, Ed",,3,2,,8,4,,,,,1,,6,,4,,,3,,,,,,,16,,
"Peters, Gary C.",,7,3,,2,2,,,,,1,,8,3,6,,,4,,,,9,,,1,,3
"Peters, Scott H.",,,,,,,,,,,,,6,,,,,,,,,,,,,,
"Pfluger, August L.",,,,,5,,,,,,,,7,,,,,,,,,,,,,,
"Phillips, Dean",,20,25,,42,41,,,,,1,,94,,45,,,73,,,,15,,,68,,17
"Price, David E.",,,,,2,,,,,,,,2,,,,,4,,,,,,,1,,
"Reed, John F.",,1,1,,,12,1,,,,2,,15,41,68,,,15,,,,,,2,56,,
"Rice, Tom",,,,,,,,,,,2,,,,2,,,4,,,,,,,3,,
"Roberts, Pat",,1,8,,117,27,,,,,17,,51,1,9,,,62,,,,1,,,123,,
"Roe, David P.",,,2,,3,2,,,,,,,3,,5,,,,,,,,,,4,,
"Rogers, Harold D.",,,1,,,,,,,,,,,15,,,,,,,,,,,,,
"Rooney, Francis",,2,,,7,3,,,,,1,,4,2,4,,,3,,,,1,,,3,,
"Rosen, Jacklyn S.",,,,,1,,,,,,1,,,,2,,,1,,,,,,,1,,
"Ross, Deborah K.",,3,,,2,,,,,,,,1,3,1,,,,,,,,,,10,,
"Rouda, Harley E.",,,,,5,,,,,,,,1,,,,,,,,,,,,,,
"Rouzer, David C.",,,1,,1,2,,,,,,,3,2,,,,,,,,,,,2,,
"Rutherford, John",,2,7,,5,6,,,,,2,,8,,5,,,6,,,,1,,,3,,3
"Sanchez, Linda T.",,,,,1,,,,,,1,,2,,,,,,,,,,,1,,,
"Schiff, Adam B.",,,,,,,,,,,,,,1,2,,,,,,,,,,1,,
"Schneider, Bradley S.",,,,,,,,,,,,,5,,,,,,,,,,,,,,
"Schrader, Kurt",,9,21,,13,8,,,,,9,,41,56,23,,,23,,,,6,,,32,,3
"Schrier, Kim",,1,1,,3,1,,,,,,,4,,4,,,4,,,,,,,15,,1
"Schultz, Debbie W.",,,,,,,,,,,,,,,,,,,,,,,,,10,,
"Scott, Austin",,,2,,10,,,,,,7,,1,,2,,,20,,,,,,,21,,12
"Scott, Robert C.",,4,,,2,3,,,,,,,2,,1,,,3,,,,,,,2,,
"Sessions, Pete",,,4,,8,3,,,,,,,4,3,,,,,,,,5,,,8,1,
"Shalala, Donna",,28,18,,83,34,,,,,30,,79,4,73,,,78,2,,,44,,,81,,13
"Sherrill, Mikie",,6,2,,12,14,,,,,9,,36,5,27,,,15,,,,10,,,19,,6
"Simpson, Michael K.",,6,2,,,2,,,,,4,,2,4,,,,4,,,,1,,,1,,1
"Smith, Tina",,,,,1,,,,,,,,,,18,,,,,,,,,,1,,
"Smucker, Lloyd K.",,,,,,,,,,,,,,,1,,,,,,,,,,10,,
"Spanberger, Abigail",,,,,,,,,,,,,,,,,,1,,,,,,,,,
"Spartz, Victoria",,,,,,,,,,,,,,,,,,3,,,,5,,,,,
"Steube, William G.",,,,,,,,,,,,,6,,,,,,,,,,,,,,
"Sullivan, Daniel S.",,10,,,,,,,,,,,,16,,,,,,,,,,,,,
"Suozzi, Thomas",,3,1,,3,2,,,,,1,,5,8,5,,,1,,,,,,,8,,1
"Taylor, Nicholas V.",,,,,3,1,,,,,13,,,,3,,,1,,,,,,,,,
"Thune, John R.",,,,,,,,,,,,,,,,,,,,,,1,,,,,
"Tillis, Thomas R.",,5,,,10,4,,2,,,5,1,13,2,11,,,14,,,,4,,4,21,,1
"Timmons, William R.",,,,,4,2,,,,,1,,2,,4,,,,,,,,,,5,,
"Toomey, Patrick J.",,2,7,,9,4,,,,,16,,31,38,18,,,6,,,1,4,,,5,3,4
"Trahan, Lori",,,,,,,,,,,,,,,,,,1,,,,,,,,,
"Trone, David",,,,,2,,,,,,,,1,,,,,,,,,,,,1,,
"Tuberville, Thomas H.",,59,1,,23,10,,,,,15,1,15,6,15,,,21,,,,,,,84,4,1
"Udall, Thomas S.",,,,,1,,,,,,,,,,,,,1,,,,,,,,,
"Upton, Fred",,,2,,2,3,,,,,2,,4,2,,,,4,,,,,,,1,,
"Visclosky, Peter J.",,,1,,,,,,,,1,,,,,,,,,,,,,,,,
"Waltz, Michael",,,,,,,,,,2,,,,,,,,,,,,,,,,,
"Warner, Mark R.",,,1,,,,,,,,,,,,3,,,1,,,,,,,2,,
"Welch, Peter",,,,,2,6,,,,,1,,5,,7,2,,6,,,,1,,,13,,3
"Whitehouse, Sheldon",,4,40,,105,63,,,,,7,,76,5,103,,3,69,,,,7,,1,138,1,4
"Wicker, Roger F.",,,,,,,,,,,,,4,,,,,,,,,,,,,,
"Wittman, Robert J.",,3,2,,8,6,,,,,2,,10,,11,,,4,,,,2,,,4,,2
"Wyden, Ronald L.",,3,3,,62,15,,,,,5,,6,,,,,19,,,,3,,,105,,
"Yarmuth, John A.",,5,6,,9,6,,,,,6,,22,1,21,,,8,,,,4,,,12,,2
