transaction_date	house	senate	input
2021/08/26	1		1
2019/08/22		2	2
2020/11/18	8		8
2021/05/20	7		7
2016/08/23		2	2
2013/02/07		1	1
2018/06/26		1	1
2017/10/10		2	2
2012/11/01		2	2
2017/03/16		4	4
2020/12/29	6		6
2019/01/29	2	4	6
2016/09/02		1	1
2018/01/30		2	2
2021/08/28	1		1
2017/09/27		3	3
2018/03/06		1	1
2017/12/19		2	2
2014/12/19		1	1
2020/06/04	4	2	6
2019/10/15	2	3	5
2021/03/03	6	2	8
2015/11/25		4	4
2016/05/20		1	1
2016/09/20		1	1
2021/12/30	6		6
2020/12/07	13	2	15
2018/08/06		2	2
2013/03/12		1	1
2017/07/19		1	1
2017/06/08		1	1
2014/02/12		1	1
2020/02/03	4		4
2018/08/23		2	2
2020/07/14	7		7
2016/01/08		2	2
2015/08/19		1	1
2015/12/23		3	3
2015/09/10		1	1
2015/11/13		2	2
2020/11/14	1		1
2015/03/10		2	2
2018/05/01		5	5
2016/07/14		4	4
2015/12/03		2	2
2015/11/23		3	3
2020/01/30	6	2	8
2020/06/24	8	1	9
2021/06/09	6	1	7
2021/01/04	11	2	13
2018/09/06		2	2
2014/08/26		2	2
2015/12/09		2	2
2020/10/30	8	1	9
2017/01/31		3	3
2021/01/28	8	1	9
2021/11/24	8	1	9
2015/10/15		3	3
2020/05/07	8	1	9
2018/01/05		5	5
2017/12/05		4	4
2021/01/08	8	2	10
2015/04/16		1	1
2021/08/02	10	1	11
2015/10/12		1	1
2021/11/10	6	1	7
2020/03/30	10	3	13
2019/11/19		6	6
2016/08/25		1	1
2019/06/04	1		1
2015/07/31		2	2
2020/05/14	7		7
2015/12/04		3	3
2020/08/24	5	1	6
2016/08/29		1	1
2014/03/21		1	1
2018/07/12		2	2
2018/11/28		3	3
2019/01/30	1	2	3
2014/02/13		1	1
2021/03/30	5		5
2021/07/14	4	2	6
2015/02/03		2	2
2014/06/10		1	1
2015/08/07		3	3
2017/04/04		3	3
2014/09/09		2	2
2021/12/01	6	2	8
2020/06/12	4	1	5
2021/08/23	3	1	4
2019/09/16		2	2
2018/12/20		2	2
2021/03/10	14		14
2016/06/29		2	2
2020/12/26	1		1
2019/04/17		3	3
2019/06/20	1	1	2
2019/12/30	9	1	10
2019/02/26		1	1
2019/10/14	1		1
2014/03/28		2	2
2014/02/27		1	1
2016/11/15		6	6
2014/05/01		1	1
2014/05/14		1	1
2014/11/17		4	4
2014/05/29		1	1
2017/12/08		1	1
2021/04/09	9	1	10
2017/05/05		3	3
2014/07/15		1	1
2018/05/24		4	4
2017/07/24		2	2
2019/10/25		1	1
2019/03/04	2	1	3
2017/06/15		5	5
2021/07/29	3	2	5
2017/04/24		5	5
2016/02/23		1	1
2020/06/22	11		11
2015/06/10		1	1
2021/08/11	5	2	7
2015/05/20		1	1
2021/09/03	4	3	7
2014/09/25		1	1
2021/06/28	4	1	5
2015/06/23		1	1
2013/10/01		1	1
2018/10/11		3	3
2014/03/06		1	1
2013/04/19		1	1
2014/06/30		1	1
2016/07/18		1	1
2014/05/06		2	2
2018/06/06		3	3
2013/10/30		1	1
2015/06/19		1	1
2017/08/03		2	2
2014/06/20		1	1
2021/06/08	7	1	8
2018/10/31		5	5
2015/05/08		1	1
2020/08/17	4	3	7
2018/08/30		1	1
2014/10/07		1	1
2014/03/18		1	1
2012/11/14		1	1
2019/05/15	2	2	4
2018/10/26		2	2
2018/09/04		1	1
2015/10/01		1	1
2017/06/30		2	2
2015/09/18		4	4
2015/07/24		2	2
2017/12/11		1	1
2021/12/29	5	2	7
2020/09/01	15	2	17
2014/04/07		1	1
2018/04/17		1	1
2019/01/16	1	2	3
2017/11/28		1	1
2019/10/17	1	2	3
2021/05/12	9		9
2018/02/08		4	4
2021/09/27	8	1	9
2019/07/09		3	3
2015/05/01		2	2
2015/07/14		1	1
2017/11/14		1	1
2021/05/06	6	1	7
2019/07/31	1	3	4
2017/08/18		1	1
2020/11/23	8		8
2014/02/25		1	1
2015/03/06		2	2
2013/06/05		2	2
2020/03/12	8	2	10
2015/06/16		3	3
2018/11/12		3	3
2017/08/31		2	2
2021/10/25	7	2	9
2016/04/21		2	2
2016/11/29		1	1
2013/03/25		1	1
2019/08/30	1	1	2
2021/03/23	6		6
2017/08/22		2	2
2018/01/12		2	2
2016/04/07		1	1
2015/05/14		2	2
2014/07/24		1	1
2013/01/24		1	1
2017/02/03		2	2
2014/12/30		1	1
2018/07/10		1	1
2018/03/05		2	2
2012/11/09		2	2
2016/05/25		1	1
2021/11/01	5	2	7
2020/12/14	4	1	5
2019/07/08	2	1	3
2015/02/10		2	2
2020/03/16	9	2	11
2019/11/07		4	4
2014/12/31		2	2
2019/11/01		1	1
2012/12/21		2	2
2018/07/25		3	3
2018/11/13		2	2
2015/08/12		2	2
2021/04/23	9		9
2014/05/20		1	1
2016/12/08		1	1
2021/07/09	6	1	7
2017/02/08		1	1
2021/12/05	1		1
2021/07/20	4	1	5
2014/04/04		2	2
2018/01/09		1	1
2017/12/12		3	3
2020/06/05	8	2	10
