ticker,transaction_date,number_of_transactions
BX,2014/08/25,1
HYT,2014/08/21,1
GPRO,2014/08/14,1
DISH,2014/08/08,1
NKE,2014/08/08,1
IRM,2014/08/08,1
XRT,2014/07/28,1
VWO,2014/07/28,1
EEM,2014/07/28,1
RYAM,2014/07/25,1
MLPRX,2014/07/23,1
WASH,2014/07/23,1
STE,2014/07/23,1
PL,2014/07/23,1
PBCT,2014/07/23,1
PGH,2014/07/23,1
OGS,2014/07/23,1
LECO,2014/07/23,1
HTGC,2014/07/23,1
HUB-B,2014/07/23,1
HCC,2014/07/23,1
GRMN,2014/07/23,1
ENLC,2014/07/23,1
EPR,2014/07/23,1
ECL,2014/07/23,1
BWA,2014/07/23,1
BTE,2014/07/23,1
HSIC,2014/07/23,1
BMR,2014/07/23,1
LNT,2014/07/23,1
EMC,2014/07/23,1
MMC,2014/07/23,1
HRS,2014/07/23,1
WEC,2014/07/23,1
PPG,2014/07/23,1
TRV,2014/07/23,1
CME,2014/07/23,1
PKG,2014/07/23,1
HUN,2014/07/23,1
PSX,2014/07/23,1
SNA,2014/07/23,1
ARE,2014/07/23,1
JNJ,2014/07/23,1
TWTR,2014/07/22,1
MDP,2014/07/21,1
DE,2014/07/21,1
LNC,2014/07/17,1
AMGN,2014/07/10,1
AFL,2014/07/07,1
NOV,2014/07/02,1
DVFAX,2014/06/30,1
NTI,2014/06/25,1
AMLP,2014/06/24,1
AIT,2014/06/19,1
CMO,2014/06/19,1
FNF,2014/06/19,1
HFC,2014/06/19,1
PRE,2014/06/19,1
PNM,2014/06/19,1
ROC,2014/06/19,1
SBGI,2014/06/19,1
TCAP,2014/06/19,1
LMGEX,2014/06/19,1
ROP,2014/06/19,1
WCN,2014/06/19,1
SRCL,2014/06/19,1
PRGO,2014/06/19,1
PX,2014/06/19,1
LVS,2014/06/19,1
CR,2014/06/19,1
AGCO,2014/06/19,1
MPW,2014/06/19,1
UPS,2014/06/19,1
WMT,2014/06/19,1
BMY,2014/06/19,1
WY,2014/06/19,1
OXY,2014/06/19,1
MCHP,2014/06/19,1
PG,2014/06/19,1
DBP,2014/06/12,1
VIXY,2014/06/12,1
PFS,2014/06/12,1
LGP,2014/06/11,1
RNWK,2014/06/06,1
PPL,2014/06/05,1
GLD,2014/06/05,1
OKE,2014/05/30,1
CHL,2014/05/29,1
RTN,2014/05/29,1
SSYS,2014/05/29,1
ACT,2014/05/22,1
VDC,2014/05/09,1
HMC,2014/05/09,1
XLNX,2014/05/09,1
ETN,2014/05/09,1
ADC,2014/05/07,1
ALV,2014/05/07,1
CBT,2014/05/07,1
CHCO,2014/05/07,1
CLNY,2014/05/07,1
CTBI,2014/05/07,1
CPSI,2014/05/07,1
CNSL,2014/05/07,1
CYS,2014/05/07,1
FFBC,2014/05/07,1
FMER,2014/05/07,1
FLY,2014/05/07,1
HNI,2014/05/07,1
HTS,2014/05/07,1
LDR,2014/05/07,1
MTSC,2014/05/07,1
MGRC,2014/05/07,1
PACW,2014/05/07,1
PWE,2014/05/07,1
TAL,2014/05/07,1
UMPQ,2014/05/07,1
VR,2014/05/07,1
VVC,2014/05/07,1
YHOO,2014/05/07,1
JCOM,2014/05/07,1
CY,2014/05/07,1
HOT,2014/05/07,1
SE,2014/05/07,1
BGS,2014/05/07,1
MXIM,2014/05/07,1
TUP,2014/05/07,1
UNP,2014/05/07,1
HAS,2014/05/07,1
IP,2014/05/07,1
DLR,2014/05/07,1
WM,2014/05/07,1
UL,2014/05/07,1
TEL,2014/05/07,1
ARCC,2014/05/07,1
TGT,2014/05/07,1
OHI,2014/05/07,1
SBUX,2014/05/07,1
RPM,2014/05/07,1
WFC,2014/05/07,1
IEX,2014/05/07,1
QCOM,2014/05/07,1
LINE,2014/04/29,1
KORS,2014/04/29,1
GOOGL,2014/04/29,1
PEP,2014/04/29,1
XRAY,2014/04/28,1
SRE,2014/04/28,1
UNH,2014/04/28,1
F,2014/04/28,1
AXP,2014/04/23,1
GS,2014/04/23,1
SCHW,2014/04/21,1
STT,2014/04/17,1
COP,2014/04/17,1
DIS,2014/04/17,1
AJG,2014/04/15,1
GILD,2014/04/14,1
LBTYA,2014/04/10,1
LBTYK,2014/04/10,1
FOXA,2014/04/10,1
GOOG,2014/04/10,1
AMZN,2014/04/09,1
CAT,2014/04/08,1
AMT,2014/04/08,1
RHHBY,2014/04/04,1
BHI,2014/04/03,1
UTX,2014/04/03,1
ATML,2014/04/02,1
BUD,2014/03/31,1
ABBV,2014/03/31,1
WIN,2014/03/28,1
ALTR,2014/03/28,1
DAL,2014/03/28,1
FCX,2014/03/28,1
BIIB,2014/03/27,1
M,2014/03/27,1
ZMH,2014/03/17,1
BAC,2014/03/14,1
