ticker,transaction_date,number_of_transactions
SONVY,2021/02/17,1
SYIEY,2021/02/17,1
SSMXY,2021/02/17,1
UNICY,2021/02/17,1
UL,2021/02/17,1
YNDX,2021/02/17,1
SHOP,2021/02/17,1
BL,2021/02/17,1
ACHC,2021/02/16,1
A,2021/02/16,1
AL,2021/02/16,1
ADS,2021/02/16,1
AMT,2021/02/16,1
AWK,2021/02/16,1
ATH,2021/02/16,1
BAX,2021/02/16,1
BBY,2021/02/16,1
CDNS,2021/02/16,1
CHTR,2021/02/16,1
XEC,2021/02/16,1
CTAS,2021/02/16,1
CMS,2021/02/16,1
CLGX,2021/02/16,1
CCK,2021/02/16,1
FANG,2021/02/16,1
DXC,2021/02/16,1
EMN,2021/02/16,1
EW,2021/02/16,1
EMR,2021/02/16,1
EHC,2021/02/16,1
EQIX,2021/02/16,1
EXPE,2021/02/16,1
FITB,2021/02/16,1
BEN,2021/02/16,1
GLPI,2021/02/16,1
HRC,2021/02/16,1
HSBC,2021/02/16,1
HUN,2021/02/16,1
IDXXX,2021/02/16,1
PODD,2021/02/16,1
JBL,2021/02/16,1
KKR,2021/02/16,1
LYV,2021/02/16,1
LULU,2021/02/16,1
LYB,2021/02/16,1
MMC,2021/02/16,1
MCHP,2021/02/16,1
MOS,2021/02/16,1
MSI,2021/02/16,1
NYT,2021/02/16,1
NEM,2021/02/16,1
NOC,2021/02/16,1
NUE,2021/02/16,1
NVR,2021/02/16,1
OKTA,2021/02/16,1
OMF,2021/02/16,1
ORCL,2021/02/16,1
PH,2021/02/16,1
PSX,2021/02/16,1
PNC,2021/02/16,1
PLD,2021/02/16,1
RMD,2021/02/16,1
ROK,2021/02/16,1
SC,2021/02/16,1
ST,2021/02/16,1
SIVB,2021/02/16,1
SYF,2021/02/16,1
SNPS,2021/02/16,1
TGT,2021/02/16,1
TRU,2021/02/16,1
TFC,2021/02/16,1
USB,2021/02/16,1
VMC,2021/02/16,1
WMB,2021/02/16,1
WYND,2021/02/16,1
ZG,2021/02/16,1
ABNB,2021/02/16,1
SAM,2021/02/16,1
FCX,2021/02/16,1
MELI,2021/02/16,1
TPR,2021/02/16,1
ERJ,2021/02/16,1
AOSL,2021/02/16,1
URGO,2021/02/16,1
GRUB,2021/02/12,1
ESGC,2021/02/12,1
AlGM,2021/02/12,1
BERY,2021/02/12,1
TDDC,2021/02/12,1
ARNA,2021/02/12,1
ACB,2021/02/12,1
