sector,transaction_date,number_of_transactions
GGSM,2021/02/12,1
FEMS,2021/02/12,1
EEM,2021/02/12,1
ESGC,2021/02/12,1
AlGM,2021/02/12,1
TDDC,2021/02/12,1
ACB,2021/02/12,1
CRON,2021/02/12,1
PAIDX,2021/02/11,1
SMFKY,2021/02/11,1
VFC.VI,2021/02/11,1
SEA,2021/02/10,1
VEEV,2021/02/09,1
PENN,2021/02/09,1
AEIS,2021/02/09,1
BLDR,2021/02/09,1
CLNE,2021/02/08,1
AAIGF,2021/02/08,1
BIP,2021/02/08,1
BEP,2021/02/08,1
ALGM,2021/02/05,1
MJNA,2021/02/05,1
BHPLF,2021/02/05,1
NLG,2021/02/05,1
HYDB,2021/02/05,1
RY.TO,2021/02/05,1
CSCCX,2021/02/05,1
KAI,2021/02/04,1
BSIIX,2021/02/04,1
JSOAX,2021/02/04,1
TSBRX,2021/02/04,1
BRK-B,2021/02/03,1
BPHSPX,2021/02/03,1
CSX,2021/02/02,1
DOMO,2021/02/02,1
TRN,2021/02/02,1
BRX,2021/02/02,1
XCAPX,2021/01/29,1
LUMN,2021/01/29,1
GME,2021/01/28,1
MKTX,2021/01/28,1
GO,2021/01/28,1
CDW,2021/01/28,1
ADDYY,2021/01/28,1
SHOP,2021/01/27,1
DDD,2021/01/27,1
PBA,2021/01/26,1
AQN,2021/01/26,1
VIAV,2021/01/25,1
EVOP,2021/01/25,1
LMACU,2021/01/22,1
LEE,2021/01/22,1
AZEK,2021/01/22,1
Broadcom Inc.,2021/01/22,1
IBTB,2021/01/21,1
IBTJ,2021/01/21,1
IBTI,2021/01/21,1
IBTH,2021/01/21,1
IBTG,2021/01/21,1
SPDW,2021/01/21,1
SLYV,2021/01/21,1
SPYS,2021/01/21,1
SPYV,2021/01/21,1
SPTI,2021/01/21,1
PDBC,2021/01/21,1
LQD,2021/01/21,1
IBDO,2021/01/21,1
XLF,2021/01/21,1
BOA,2021/01/21,1
NFG,2021/01/20,1
SFE,2021/01/20,1
TKOMY,2021/01/20,1
NIO,2021/01/20,1
SWK,2021/01/19,1
DKNG,2021/01/19,1
SDOG,2021/01/15,1
STAG,2021/01/15,1
AEP,2021/01/15,1
INTL,2021/01/15,1
VNT,2021/01/15,1
ZOOM,2021/01/15,1
FMS,2021/01/14,1
ACGL,2021/01/14,1
FCEL,2021/01/14,1
TDY,2021/01/13,1
RODM,2021/01/13,1
VRT,2021/01/13,1
LESL,2021/01/13,1
FLT,2021/01/13,1
FISV,2021/01/13,1
DRE,2021/01/13,1
CHX,2021/01/13,1
JIH,2021/01/12,1
WSM,2021/01/12,1
WAIR,2021/01/12,1
GT,2021/01/12,1
RLGY,2021/01/12,1
CACI,2021/01/12,1
JGCCF,2021/01/12,1
MLYNF,2021/01/12,1
OGFGF,2021/01/12,1
FEYE,2021/01/11,1
PSQ,2021/01/11,1
SH,2021/01/11,1
AIO,2021/01/11,1
FSKR,2021/01/11,1
DMTK,2021/01/11,1
CIG,2021/01/11,1
EQNR,2021/01/11,1
MJDLF,2021/01/11,1
NCMGF,2021/01/11,1
PDS,2021/01/11,1
VIV,2021/01/11,1
TSCDF,2021/01/11,1
TKC,2021/01/11,1
WOLWF,2021/01/11,1
AUY,2021/01/11,1
LMND,2021/01/08,1
AJRD,2021/01/08,1
SVC,2021/01/08,1
WCC,2021/01/07,1
TIF,2021/01/07,1
PAG,2021/01/06,1
CHNG,2021/01/06,1
CNF,2021/01/06,1
CRSP,2021/01/05,1
AHCO,2021/01/05,1
PCPL.U,2021/01/05,1
WY,2021/01/04,1
ONEQ,2021/01/04,1
BKR,2021/01/04,1
FNRVGX,2021/01/04,1
PSX,2020/12/31,1
AMT,2020/12/31,1
HII,2020/12/30,1
LBRDA,2020/12/30,1
APPAD,2020/12/30,1
PSTH,2020/12/29,1
ASMB,2020/12/28,1
RETA,2020/12/28,1
SRNE,2020/12/28,1
IPWR,2020/12/24,1
PLUG,2020/12/22,1
CODYY,2020/12/22,1
EXPI,2020/12/21,1
ETY,2020/12/21,1
W,2020/12/21,1
CSTL,2020/12/21,1
PHR,2020/12/21,1
NBIX,2020/12/21,1
PCPL,2020/12/21,1
ARNC,2020/12/18,1
RAD,2020/12/17,1
TRUP,2020/12/17,1
DNKN,2020/12/16,1
GSMYX,2020/12/15,1
AIV,2020/12/15,1
WFC$V,2020/12/15,1
FXM,2020/12/11,1
USO,2020/12/11,1
WORK,2020/12/10,1
PAVE,2020/12/09,1
NTRP,2020/12/08,1
MEDP,2020/12/08,1
VCYT,2020/12/08,1
SVNLY,2020/12/07,1
BLDP,2020/12/07,1
BGG,2020/12/07,1
DASTY,2020/12/03,1
IFNNY,2020/12/03,1
GPC,2020/12/03,1
ZM,2020/12/02,1
BRKS,2020/12/02,1
CCMP,2020/12/02,1
SITE,2020/12/02,1
AFTPY,2020/12/01,1
LOGI,2020/12/01,1
DCMYY,2020/12/01,1
BRK,2020/11/30,1
FVD,2020/11/30,1
JEMWX,2020/11/30,1
REGL,2020/11/25,1
CRNC,2020/11/24,1
DAVA,2020/11/24,1
SHYF,2020/11/24,1
VRTU,2020/11/24,1
PASO,2020/11/24,1
SNPS,2020/11/20,1
GOLD,2020/11/20,1
OHI,2020/11/20,1
WIW,2020/11/20,1
ERIC,2020/11/20,1
LGI,2020/11/20,1
MRVL,2020/11/20,1
BRKR,2020/11/20,1
MANT,2020/11/20,1
ACIW,2020/11/20,1
SRVR,2020/11/20,1
CONE,2020/11/20,1
CEF,2020/11/20,1
XAR,2020/11/20,1
GMAB,2020/11/20,1
BAH,2020/11/20,1
LDP,2020/11/20,1
HBI,2020/11/20,1
ATVI,2020/11/20,1
RTH,2020/11/20,1
NTLA,2020/11/20,1
PTLC,2020/11/20,1
PTNQ,2020/11/20,1
PTMC,2020/11/20,1
MAXR,2020/11/20,1
ARNA,2020/11/20,1
PAGS,2020/11/20,1
CTVA,2020/11/20,1
SI,2020/11/20,1
GLW,2020/11/20,1
HAL,2020/11/20,1
PAAS,2020/11/20,1
RHHBF,2020/11/20,1
VFF,2020/11/20,1
FISI,2020/11/20,1
MUR,2020/11/19,1
ORLT,2020/11/19,1
AD,2020/11/19,1
LAM,2020/11/19,1
TF,2020/11/19,1
PLXS,2020/11/18,1
NVT,2020/11/18,1
FCFS,2020/11/18,1
WWD,2020/11/18,1
AVY,2020/11/18,1
MCRN,2020/11/18,1
OIH,2020/11/18,1
AHT,2020/11/17,1
RIO,2020/11/16,1
BOH,2020/11/16,1
DBX,2020/11/16,1
DPSGY,2020/11/13,1
CNS,2020/11/13,1
SUPN,2020/11/13,1
CSLT,2020/11/13,1
ALNY,2020/11/13,1
ACCYY,2020/11/13,1
ACSAY,2020/11/13,1
AEG,2020/11/13,1
AER,2020/11/13,1
SAN,2020/11/13,1
BGNE,2020/11/13,1
CUK,2020/11/13,1
CRARY,2020/11/13,1
DLAKY,2020/11/13,1
EJPRY,2020/11/13,1
E,2020/11/13,1
EVVTY,2020/11/13,1
FINMY,2020/11/13,1
GLPEY,2020/11/13,1
HLPPY,2020/11/13,1
HSNGY,2020/11/13,1
HLDCY,2020/11/13,1
HTHIY,2020/11/13,1
ICL,2020/11/13,1
IPXHY,2020/11/13,1
ISNPY,2020/11/13,1
ISUZY,2020/11/13,1
KPELY,2020/11/13,1
MLCO,2020/11/13,1
MUFG,2020/11/13,1
MITSY,2020/11/13,1
NABZY,2020/11/13,1
NTXFY,2020/11/13,1
NWG,2020/11/13,1
NTTYY,2020/11/13,1
OMVKY,2020/11/13,1
IX,2020/11/13,1
POAHY,2020/11/13,1
PUK,2020/11/13,1
RYCEY,2020/11/13,1
SKFRY,2020/11/13,1
SDXAY,2020/11/13,1
FUJHY,2020/11/13,1
SOMMY,2020/11/13,1
SSUMY,2020/11/13,1
SMFG,2020/11/13,1
SUHJY,2020/11/13,1
SSREY,2020/11/13,1
TLSYY,2020/11/13,1
TRYIY,2020/11/13,1
VONOY,2020/11/13,1
WJRYY,2020/11/13,1
WIX,2020/11/13,1
WOPEY,2020/11/13,1
WPP,2020/11/13,1
EPAM,2020/11/12,1
WXA.F,2020/11/12,1
HEP,2020/11/12,1
UTG,2020/11/12,1
XMO,2020/11/12,1
HRI,2020/11/12,1
MPLN,2020/11/12,1
DFREX,2020/11/12,1
FAS,2020/11/11,1
TRREX,2020/11/11,1
BYND,2020/11/10,1
UBS,2020/11/09,1
MNP,2020/11/09,1
BXMDX,2020/11/09,1
VUG,2020/11/09,1
