ticker,transaction_date,number_of_transactions
AZEK,2021/01/28,1
BBVA,2021/01/28,1
CMS,2021/01/28,1
ITUB,2021/01/28,1
LZAGY,2021/01/28,1
SBGSY,2021/01/28,1
SGSOY,2021/01/28,1
SSMXY,2021/01/28,1
GME,2021/01/27,1
LEE,2021/01/22,1
XLY,2021/01/21,1
MBB,2021/01/21,1
IBTD,2021/01/21,1
MDYG,2021/01/21,1
MDYV,2021/01/21,1
SWK,2021/01/19,1
EXPD,2021/01/15,1
VRT,2021/01/15,1
ZOOM,2021/01/15,1
PLUG,2021/01/14,1
GBTC,2021/01/13,1
RODM,2021/01/13,1
VNT,2021/01/13,1
GT,2021/01/13,1
CACI,2021/01/13,1
ATO,2021/01/13,1
LESL,2021/01/12,1
FISV,2021/01/12,1
DRE,2021/01/12,1
CHX,2021/01/12,1
CAG,2021/01/11,1
RP,2021/01/11,1
WSM,2021/01/11,1
FMX,2021/01/11,1
PAG,2021/01/06,1
CDNA,2021/01/06,1
BRKS,2021/01/05,1
EXPE,2021/01/05,1
FLEX,2021/01/05,1
HCA,2021/01/04,1
HRL,2021/01/04,1
BKR,2021/01/04,1
ASMB,2021/01/04,1
RETA,2021/01/04,1
SRNE,2021/01/04,1
XLB,2021/01/04,1
CNF,2021/01/04,1
EDU,2020/12/31,1
SBIO,2020/12/30,1
PBA,2020/12/30,1
CDK,2020/12/30,1
SVC,2020/12/29,1
DXCM,2020/12/24,1
CSTL,2020/12/23,1
DNB,2020/12/23,1
CRSP,2020/12/22,1
ICUI,2020/12/21,1
ACI,2020/12/16,1
CDW,2020/12/16,1
HRC,2020/12/16,1
AEP,2020/12/14,1
PAVE,2020/12/11,1
BLDP,2020/12/09,1
DIN,2020/12/08,1
LAND,2020/12/08,1
CCMP,2020/12/07,1
JPM$G,2020/12/07,1
NTRP,2020/12/02,1
EVVTY,2020/12/01,1
WIX,2020/12/01,1
AIV,2020/11/30,1
SWN,2020/11/30,1
IVW,2020/11/30,1
BRKR,2020/11/27,1
CTRCF,2020/11/26,1
TF,2020/11/25,1
KEYS,2020/11/20,1
WW,2020/11/20,1
ARE,2020/11/20,1
ABYIX,2020/11/20,1
LUBFX,2020/11/20,1
DGRS,2020/11/20,1
SWKS,2020/11/20,1
NUAN,2020/11/20,1
VIAV,2020/11/20,1
EVOP,2020/11/20,1
AJRD,2020/11/20,1
CIEN,2020/11/20,1
XEC,2020/11/20,1
RBCAA,2020/11/20,1
ERIC,2020/11/19,1
WWD,2020/11/18,1
VXX,2020/11/16,1
BASFY,2020/11/13,1
FIVE,2020/11/13,1
MTX,2020/11/13,1
DAVA,2020/11/13,1
VRTU,2020/11/13,1
TS,2020/11/13,1
