scale_of_shares_roundedby5,number_of_transactions
"[4275, 8555]",1
"[455, 1510]",1
"[530, 1765]",1
"[11505, 57525]",1
"[60, 905]",6
"[45, 150]",4
"[165, 335]",1
"[1185, 3945]",1
"[1825, 4570]",1
"[805, 2010]",1
"[305, 615]",1
"[2535, 6340]",2
"[895, 2980]",1
"[45, 710]",7
"[100, 335]",2
"[55, 835]",4
"[340, 1135]",2
"[1145, 2865]",2
"[4740, 9480]",1
"[1250, 2500]",1
"[835, 1675]",1
"[9450, 23630]",1
"[85, 1255]",2
"[3120, 7800]",1
"[95, 1455]",2
"[445, 1480]",1
"[950, 1905]",1
"[1070, 2675]",2
"[4995, 12490]",1
"[80, 1205]",4
"[575, 1925]",1
"[205, 3100]",1
"[60, 885]",5
"[240, 800]",2
"[1650, 5500]",1
"[225, 3375]",1
"[615, 1540]",1
"[325, 810]",1
"[665, 2220]",1
"[5975, 14940]",1
"[5640, 11280]",1
"[1625, 3250]",1
"[2220, 4445]",1
"[115, 1690]",2
"[225, 3370]",1
"[220, 3330]",1
"[225, 3380]",1
"[230, 3410]",1
"[55, 850]",6
"[45, 145]",3
"[10, 110]",1
"[2775, 5555]",1
"[690, 1380]",1
"[3600, 7200]",1
"[1115, 2225]",1
"[240, 805]",1
"[80, 1170]",5
"[240, 3620]",1
"[50, 170]",3
"[215, 725]",2
"[6455, 16135]",1
"[740, 2470]",1
"[4695, 11735]",1
"[5595, 11190]",1
"[690, 1725]",1
"[75, 1125]",3
"[75, 1110]",5
"[320, 1065]",1
"[925, 3080]",1
"[50, 780]",5
"[235, 785]",4
"[275, 915]",2
"[380, 755]",1
"[350, 1160]",3
"[75, 1120]",1
"[270, 900]",3
"[1065, 3555]",2
"[195, 385]",3
"[430, 1425]",1
"[425, 1415]",2
"[60, 915]",8
"[330, 1095]",2
"[80, 1165]",3
"[75, 1130]",2
"[75, 1095]",4
"[45, 635]",2
"[680, 2260]",1
"[685, 2280]",1
"[1170, 2335]",1
"[895, 1795]",1
"[955, 2385]",1
"[60, 880]",6
"[90, 310]",2
"[75, 1100]",7
"[680, 2265]",1
"[70, 1025]",2
"[70, 1020]",2
"[65, 960]",2
"[65, 990]",2
"[90, 1340]",2
"[340, 1130]",2
"[300, 995]",3
"[290, 965]",3
"[20, 290]",29
"[900, 1800]",1
"[150, 495]",1
"[4980, 12445]",1
"[450, 900]",1
"[265, 525]",1
"[310, 775]",1
"[85, 1270]",1
"[1970, 3945]",1
"[7345, 14690]",1
"[110, 1660]",1
"[50, 715]",2
"[100, 1485]",2
"[100, 1465]",2
"[505, 1005]",2
"[255, 510]",1
"[75, 240]",1
"[295, 985]",2
"[310, 1030]",1
"[225, 755]",1
"[375, 1250]",1
"[305, 1010]",4
"[525, 1055]",1
"[325, 645]",3
"[545, 1820]",1
"[3185, 6370]",1
"[40, 605]",4
"[1075, 2150]",2
"[875, 1750]",1
"[1345, 2690]",1
"[4030, 8060]",1
"[635, 1270]",1
"[2590, 5180]",1
"[1795, 3585]",1
"[395, 790]",2
"[1240, 4135]",1
"[15, 40]",1
"[65, 970]",1
"[860, 1720]",1
"[120, 390]",1
"[165, 560]",1
"[345, 1150]",2
"[2870, 14350]",1
"[575, 1155]",2
"[255, 3835]",1
"[295, 990]",1
"[90, 1385]",1
"[200, 660]",3
"[470, 1565]",1
"[800, 2665]",1
"[380, 1275]",1
"[150, 505]",4
"[250, 3760]",1
"[65, 975]",2
"[245, 3675]",1
"[505, 1690]",2
"[240, 3610]",1
"[690, 2305]",1
"[145, 480]",4
"[3530, 8820]",1
"[240, 3625]",1
"[505, 1685]",2
"[75, 1145]",4
"[90, 1370]",2
"[80, 1200]",1
"[615, 2050]",1
"[80, 1185]",1
"[1035, 2075]",1
"[1575, 3935]",1
"[100, 325]",4
"[205, 675]",1
"[365, 730]",1
"[60, 150]",1
"[1405, 3510]",1
"[1365, 2735]",1
"[1790, 4475]",2
"[915, 3050]",1
"[760, 1525]",1
"[540, 1795]",1
"[3320, 8305]",1
"[50, 730]",6
"[125, 1910]",2
"[50, 720]",3
"[335, 1115]",2
"[95, 325]",3
"[680, 1360]",2
"[245, 820]",2
"[200, 400]",2
"[4420, 11045]",1
"[1025, 2045]",2
"[8235, 20590]",1
"[2225, 4455]",1
"[95, 1440]",1
"[405, 1355]",1
"[495, 990]",1
"[70, 1065]",6
"[465, 1555]",1
"[65, 955]",2
"[65, 935]",1
"[60, 935]",2
"[60, 900]",6
"[345, 1140]",1
"[60, 865]",6
"[110, 1640]",2
"[55, 820]",8
"[890, 2965]",1
"[585, 1955]",1
"[85, 1285]",1
"[1840, 3675]",1
"[1875, 3750]",1
"[6415, 16035]",1
"[4025, 10070]",1
"[85, 1290]",1
"[55, 815]",6
"[55, 825]",7
"[800, 2660]",1
"[90, 1320]",3
"[1145, 2290]",1
"[195, 640]",1
"[970, 1935]",1
"[755, 2520]",2
"[360, 720]",1
"[2670, 5345]",1
"[90, 1345]",2
"[1370, 4570]",1
"[585, 1950]",1
"[560, 1875]",2
"[840, 1675]",1
"[105, 1605]",1
"[750, 1505]",1
"[205, 415]",1
"[45, 685]",5
"[530, 1770]",1
"[475, 1590]",2
"[265, 880]",1
"[275, 910]",5
"[45, 140]",1
"[280, 925]",1
"[3110, 7775]",1
"[2490, 4980]",1
"[155, 525]",1
"[70, 1040]",2
"[805, 1610]",1
"[1050, 2095]",1
"[140, 280]",1
"[360, 725]",1
"[1830, 4575]",1
"[25, 55]",1
"[480, 965]",1
"[520, 1735]",1
