ticker,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
FRT,,,,,,1,1,,,,
MALOX,,,,,,,1,1,,,
GTCSX,,,,,,,,1,,,
TSCIX,,,,,,,,1,,,
VPMAX,,,,,,,,1,,,
IWF,,,,,,,1,1,,,
REVB,,,,,,4,10,1,,,
ABB,,,,,,,,1,,,
SMG,,,,,,,,1,,,
ANDX,,,,,,2,1,1,,,
MYL,,,,2,2,2,2,1,,,
BWXT,,,,,,,12,27,,,
NSRGY,,,2,,2,3,3,3,,,
RDSA.AS,,,,,,,,1,,,
HBAN,,,,,,1,,1,,,
RHT,,,3,,2,,1,1,,,
WEX,,,,,,,,1,,,
VGR,,,,,,,,1,,,
INFY,,,,,,2,,3,,,
AVP,,,,1,,3,2,2,,,
TOT,,,,,,,,1,,,
SHW,,,,,,,1,1,,,
ISRG,,,,,2,,2,3,,,
LM09.SG,,,,,,,4,,,,
DVA,,,,,,,2,,,,
BRKB,,,,,,1,1,,,,
APC,,,,,,,,1,,,
WTW,,,,,,4,5,1,,,
FDC,,,,,,19,29,18,,,
LH,,,,,,,1,1,,,
CLR,,,,4,3,,2,1,,,
KDP,,,,,,,,2,,,
SFTBY,,,,,,1,,1,,,
SRE,,,1,,,,,1,,,
RBGLY,,,,,,1,,1,,,
PDRDY,,,,,,1,,1,,,
LRLCY,,,,,,1,,1,,,
MRAAY,,,,,,1,,1,,,
NPSNY,,,,,,,,1,,,
MCO,,,,,,1,,1,,,
LVS,,,1,,,1,,1,,,
KYCCF,,,,,,1,,1,,,
SAFRY,,,,,,,,1,,,
HLT,,,,,,1,,1,,,
GDDY,,,,,,1,,1,,,
ESLOY,,,,,,,,1,,,
DE,,,1,3,,,,1,,,
CCI,,,,,,4,,2,,,
CABGY,,,,,,1,,1,,,
ASML,,,,,,1,,1,,,
AZN,,,,,,1,,1,,,
AHKSY,,,,,,1,,1,,,
EADSY,,,,,,,,1,,,
AAGIY,,,,,,,,1,,,
BIIB,,,2,10,3,,1,1,,,
XSLV,,,,,,,,2,,,
PRNHX,,,,,,,,1,,,
FLMVX,,,,,,,,1,,,
FCNTX,,,,,,,,1,,,
ANCX,,,,,,1,,1,,,
HAS,,,1,,5,,,1,,,
XLNX,,,2,,,,1,3,,,
IQV,,,,,,,1,3,,,
HOLX,,,,,1,,2,1,,,
ADI,,,,,,7,4,2,,,
ZAYO,,,,,,,,2,,,
CHTR,,,,,,,,1,,,
LYB,,,,,,3,,1,,,
WGP,,,,,,,,1,,,
VRTX,,,,1,,,1,1,,,
MKC,,,,,,,,1,,,
AXP,,,2,6,2,,,1,,,
EDIT,,,,,,1,,1,,,
PPG,,,1,,1,,,1,,,
DWDP,,,,,,7,5,1,,,
AX,,,,,,,,1,,,
TNTOF,,,,,,,,1,,,
KN,,,,14,3,,11,3,,,
KMX,,,,,,,3,1,,,
TAP,,,,8,,2,1,,,,
BUD,,,3,,,2,6,,,,
UNP,,,2,1,1,1,1,,,,
COF,,,1,1,,5,1,,,,
APTV,,,,,,,4,,,,
XPO,,,,,,,4,,,,
VLP,,,,2,,,5,,,,
LIN,,,,,,,2,,,,
CFR,,,,,,1,1,,,,
NEE,,,3,,1,2,3,,,,
GFAFX,,,,,,,1,,,,
AET,,,,,,,1,,,,
INCY,,,,,,1,1,,,,
SHECY,,,,,,,1,,,,
DISCA,,,,21,5,10,38,,,,
LRCX,,,,2,2,1,3,,,,
MSTY.PA,,,,,,,2,,,,
AON,,,,,,,1,,,,
PX,,,1,,3,,4,,,,
CRM,,,5,,,1,2,,,,
WBA,,,,,2,5,1,,,,
ON,,,,,,,2,,,,
WAB,,,,,,,1,,,,
LEA,,,,,,,2,,,,
TBT,,,,,,,2,,,,
CUTR,,,,,,,3,,,,
CAPL,,,,,,,2,,,,
WPZ,,,,11,3,,1,,,,
IIN,,,,,,,1,,,,
UNFI,,,,,,,2,,,,
RSPP,,,,1,,2,,,,,
