ticker,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
HPQ,,,,,,1,,,1,
HQL,,,,,,,,,2,
HRL,,,,,,1,,,,
HRS,,,1,,,1,2,,,
HSBC,,,,,1,,,,,
HSIC,,,2,,,,,,,
HSY,,,,1,1,2,,,,1
HTGC,,,1,,,,,,,
HTS,,,1,,,,,,,
HUB-B,,,1,,,,,,,
HUBG,,,,1,,,,,,
HUN,,,1,,,,,,3,
HXL,,,,,,1,1,,,
HYH,,,1,1,20,,,,,
HYT,,,1,,,,,,,
IAI,,,,,1,,,,,
IART,,,,1,,,,,,
IAT,,,,,,,,,1,
IBKC,,,,2,,,,,,
IBM,,,4,,5,7,7,5,2,1
IBM.MX,,,,,,,1,,,
ICE,,,,,,,1,1,9,
ICON,,,,1,,,,,,
ICUI,,,,1,,,,,,
IDV,,,1,,,,,,1,
IDXX,,,,,,,,,,1
IEX,,,1,,,,,,,2
IHE,,,,1,,,1,,,
IIN,,,,,,,1,,,
IJH,,,1,,,,,,,
IJR,,,,,,,,,1,
IJS,,,,,,,,,,1
ILF,,,1,,,,,,,
ILMN,,,,,,,1,,1,
INCY,,,,,,1,1,,,
INFY,,,,,,2,,3,,
INTC,,,1,,2,3,3,8,4,11
INTU,,,,,,,1,,1,2
IONS,,,,,1,,,,,
IP,,,1,1,,1,1,2,,
IPCM,,,,1,,,,,,
IPHI,,,,,,,,,2,
IQV,,,,,,,1,3,,
IR,,,,,,2,,1,1,
IRBT,,,,,,,,,4,
IRET,,,,,2,,,,,
IRM,,,2,,,,,,2,
ISIS,,,1,,,,,,,
ISRG,,,,,2,,2,3,,
ITC,,,,1,1,,,,,
ITW,,,,1,1,,3,1,,1
IVV,,,,,,,,,1,1
IVZ,,,,1,3,,1,2,,
IWD,,,,1,,,,,1,
IWF,,,,,,,1,1,,
IWM,,,,,,,,,1,1
IWN,,,,,,,,,1,
IXP,,,1,,,,,,,
IYE,,,,,,,1,,,
IYT,,,,1,3,2,1,,,
J,,,,,,,,,,1
JCI,,,,1,2,3,,1,1,1
JCOM,,,1,1,,,,,,
JD,,,,,,,,,1,
JETS,,,,,,,1,,,
JJSF,,,,1,,,,,,
JKHY,,,,,,1,,,,
JNJ,,,1,1,3,6,5,2,5,2
JNK,,,,,,,,2,,
JPJQL,,,1,,,,,,,
JPM,,,2,,2,8,11,1,8,2
JWN,,,,,1,,,,,
K,,,,,,1,,,5,
KAR,,,,,,2,,,,
KDP,,,,,,,,2,,
KEY,,,,,1,2,,,1,
KEYS,,,1,,,,,,2,1
KHC,,,,1,2,2,3,2,1,
KL,,,,,,,,,1,
KLAC,,,,,,,,,6,10
KLXI,,,2,1,,,,,,
KMB,,,,2,,2,,,,
KMI,,,1,2,,5,3,2,3,
KMP,,1,,,,,,,,
KMX,,,,,,,3,1,,
KN,,,,14,3,,11,3,,
KNX,,,,,,,,,1,
KO,,,2,2,1,3,1,7,5,
KORS,,,6,4,,,,,,
KR,,,,,,,,6,26,
KRFT,,,,2,,,,,,
KSS,,,,,,2,1,,1,
KSU,,,5,,,,,,,
KTB,,,,,,,,3,,
KWEB,,,,,,,,,2,
KWR,,,,1,,,,,,
KYCCF,,,,,,1,,1,,
LB,,,,,,3,,,,
LBTYA,,,1,,,,,,,
LBTYK,,,1,,,,,,,
LDP,,,,,,,,,5,
LDR,,,1,,,,,,,
LEA,,,,,,,2,,,
LECO,,,1,,,,,,,
LGF-B,,,,,,,27,8,1,
LGI,,,,,,,,1,2,
LGP,,,2,,,,,,,
LH,,,,,,,1,1,,
LHX,,,,,,,,,2,
LIN,,,,,,,2,,,
LINE,,,1,,,,,,,
LL,,,,1,,,,,,
LLTC,,,,2,1,1,,,,
LLY,,,,,,,,,2,
LM09.SG,,,,,,,4,,,
LMACU,,,,,,,,,,1
LMGEX,,,1,,,,,,,
LMND,,,,,,,,,,1
LMRK,,,,,,,,,1,1
LMT,,,,,1,1,2,,2,
LNC,,,1,,,,,,,
LNG,,,,,,,2,3,3,
LNKD,,,4,,,,,,,
LNT,,,1,6,,,,,,
LOCK,,,,1,,,,,,
LOW,,,2,,3,1,3,,4,
LQDT,,,,4,,,,,,
LRCX,,,,2,2,1,3,,,
LRLCY,,,,,,1,,1,,
LSCC,,,,2,,1,2,,,
LSTR,,,,1,,,,,,
LUBFX,,,,,,,,,4,1
LULU,,,,,,,1,,1,
LVLT,,,,,,1,,,,
LVMUY,,,,,,1,,,,
LVS,,,1,,,1,,1,,
LW,,,,,1,1,,,,
LYB,,,,,,3,,1,,
LYV,,,,,6,17,3,5,7,
M,,,7,3,,,,3,3,
