ticker	house	senate	input
FMCMF	1		1
VIV	1		1
WCG	1		1
SPYV	2		2
CY		7	7
VIG	16		16
PUTW	1		1
SSYS		10	10
SMFG	1		1
ELAN	9		9
KHC	13	11	24
PKG	2	2	4
FTA	1		1
MALRX	1		1
NTRA		1	1
SNP	1		1
PS	8		8
SRE	5	2	7
XPO	2	4	6
GSLC	13		13
LH	4	2	6
SITE	11		11
NTI		1	1
VADDX		1	1
DCP	8	3	11
DRQ	4	1	5
WCAGY	1		1
AGU		1	1
KMP		1	1
CONE	3	2	5
RARE	1		1
BEEM	2		2
JFAMX	1		1
CO	1		1
CB	29	12	41
WPZ		15	15
A	3	4	7
RRTS		1	1
CCS	2		2
LUV	34		34
MCC		1	1
AXS		1	1
CNC	10		10
GCIIX	1		1
CIG	1		1
SSREY	1		1
CINF	1		1
MANT		2	2
UNVR	2		2
ICE	18	11	29
FUPBY	5		5
ALB	5	14	19
OXM	2		2
TKC	1		1
PUMP	2		2
MPW		3	3
NWS	2	2	4
NOG		2	2
EVH	1		1
BDX	27	4	31
FTV	5	3	8
PDCE	3		3
DANOY	2		2
FMAO	1		1
PRU	10	19	29
VNO	6		6
SPYG	2		2
WCC	5		5
NVR	4		4
HOFV	1		1
SCI	14		14
XOM	56	44	100
PLCE	2		2
BAC	30	86	116
BIDU	12	13	25
AMADY	4		4
VGPBF	1		1
MADCX	1		1
WBA	15	8	23
AKAM	7	2	9
LOGI	1		1
UBSI	9	3	12
PEAK	4		4
GGT	1		1
ABEV	7		7
SSMXY	5		5
RBS	1		1
PBCT	6	1	7
BUI	2		2
NTXFY	1		1
TER	5	1	6
PPBI	7		7
CLNC	1		1
NINOY	2		2
CAG	3	5	8
ADDYY	6		6
PTLC		2	2
FWONK	1		1
BCE	1		1
WGP		1	1
FMBI		1	1
ADYEY	5		5
BKU	3		3
SVNDY	1		1
ARKK	2		2
UA	3	8	11
QRTEP		1	1
QYLD	1		1
TCOM	4		4
DTM	1		1
IXP		1	1
BEP	2		2
FCFS	4		4
SRLP	13		13
MMLP	7		7
ANCX		2	2
LAND	2		2
USAC	45		45
TME	1		1
DNNGY	1		1
MG		1	1
RDS.A	5		5
AEP	10	3	13
LNC	2	1	3
SDY	9	1	10
WTRG	2		2
IMBBY	3		3
GDXJ		1	1
GSK	17	2	19
SDXAY	1		1
SPTI	1		1
GCP	1		1
SAM	3		3
LLY	10	2	12
AOBC	1		1
MTSC	3	1	4
RTH		3	3
APLE	3		3
RDEIY	1		1
PH	9		9
JEF	3		3
RDSA		1	1
ADT		11	11
EMKR	3		3
USO	4		4
MONOY	3		3
FAST	5	1	6
DSU	1		1
