ticker,2018,2019,2020,2021
FMX,0,2,2,3
FNB,0,2,0,0
FND,0,0,1,0
FNF,0,1,3,4
FNGZX,0,0,1,0
FNRVGX,0,0,0,1
FNV,0,0,1,3
FORD,0,0,0,1
FOUR,0,0,1,2
FOXA,0,1,1,0
FOXF,0,1,0,0
FPEI,0,0,0,1
FQAL,0,0,0,1
FRC,0,0,3,3
FRFHF,0,0,2,0
FSCPX,0,0,1,0
FSD,0,0,2,0
FSEN,0,0,0,1
FSK,0,1,0,2
FSKAX,0,0,0,2
FSKR,0,0,0,2
FSLR,0,0,3,5
FSPHX,0,0,2,0
FSPTX,0,0,1,0
FSSAX,0,0,1,0
FSTFX,0,1,0,0
FTA,0,0,1,0
FTDR,0,0,3,0
FTEC,0,0,0,1
FTNT,0,1,9,1
FTQGX,0,0,1,0
FTSM,0,0,1,0
FTTGLX,0,0,0,1
FTV,0,1,3,1
FUJHY,0,0,1,0
FUND,0,0,0,2
FUPBY,0,1,3,1
FVADX,0,0,1,0
FVD,0,0,1,0
FVRR,0,0,1,3
FWONK,0,0,1,0
FXM,0,0,1,0
G,0,3,0,0
GBCI,0,0,1,0
GBDC,0,1,1,0
GBOOY,0,3,0,0
GBT,0,2,0,0
GBTC,0,0,0,2
GBX,0,1,0,0
GCGMF,0,0,0,1
GCI,0,1,0,0
GCIIX,0,0,1,0
GCO,0,1,0,0
GCP,0,0,1,0
GD,0,1,7,0
GDDY,0,2,4,11
GDRX,0,0,0,1
GE,0,2,18,10
GEAGY,0,0,1,0
GEL,0,0,19,2
GFL,0,0,3,0
GFN,0,0,3,2
GGT,0,0,1,0
GH,0,0,7,1
GHC,0,0,0,2
GILD,0,1,14,5
GIS,0,0,5,4
GISYX,0,0,1,0
GLD,0,0,5,4
GLIBA,0,0,2,0
GLOB,0,0,2,0
GLOP,0,0,15,0
GLP,0,0,8,8
GLPEY,0,0,1,0
GLPI,0,0,0,1
GLW,0,0,3,0
GM,0,0,5,12
GME,0,0,0,1
GMED,0,0,4,0
GMLP,0,0,14,0
GNRC,0,0,1,31
GO,0,0,3,1
GOLD,0,0,2,2
GOOC.VI,0,0,0,1
GOOG,0,4,24,20
GOOGL,0,1,24,18
GOOS,0,1,4,0
GOVT,0,0,1,0
GPC,0,1,4,2
GPK,0,0,5,1
GPN,0,0,9,7
GPRO,0,0,0,2
GPS,0,0,0,1
GRA,0,0,1,0
GRFS,0,1,0,0
GRNC,0,0,0,1
GRUB,0,0,1,1
GS,0,1,12,9
GSAH,0,0,3,0
GSK,0,0,11,6
GSLC,0,3,10,0
GSMTX,0,0,1,0
GSOSX,0,0,0,1
GSS,0,0,0,1
GT,0,1,0,2
GTN,0,0,0,1
GWPH,0,0,1,0
GWRE,0,0,1,0
GWW,0,0,1,0
GXO,0,0,0,2
H,0,3,0,1
HACK,0,1,0,0
HAE,0,0,7,3
HAL,0,0,1,0
HALO,0,0,2,1
HAS,0,0,2,0
HASI,0,0,5,0
HAYN,0,0,2,0
HBAN,0,0,3,0
HBI,0,0,0,3
HCA,0,0,4,6
HCN,0,0,1,0
HCSG,0,1,1,0
HD,0,3,29,27
HDB,0,1,2,1
HDELY,0,0,1,0
HDS,0,0,7,0
HE,0,3,0,0
HEI,0,0,0,1
HELE,0,0,5,0
HEP,0,0,1,0
HES,0,0,0,2
HFC,0,1,0,0
HGIIX,0,0,1,0
