ticker,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
HELE,0,0,0,0,0,0,0,0,2,0
HF,0,0,0,1,0,0,0,0,0,0
HFC,0,0,1,0,0,0,0,0,0,0
HIG,0,0,0,0,0,0,0,0,6,0
HLT,0,0,0,0,0,1,0,1,0,0
HLX,0,0,0,1,0,0,0,0,0,0
HMC,0,0,2,0,0,0,0,0,0,0
HNI,0,0,1,0,0,0,0,0,0,0
HOLX,0,0,0,0,1,0,2,1,0,0
HON,0,0,5,0,1,1,2,1,2,1
HOT,0,0,1,0,1,0,0,0,0,0
HPQ,0,0,0,0,0,1,0,0,1,0
HQL,0,0,0,0,0,0,0,0,2,0
HRL,0,0,0,0,0,1,0,0,0,0
HRS,0,0,1,0,0,1,2,0,0,0
HSBC,0,0,0,0,1,0,0,0,0,0
HSIC,0,0,2,0,0,0,0,0,0,0
HSY,0,0,0,1,1,2,0,0,0,1
HTGC,0,0,1,0,0,0,0,0,0,0
HTS,0,0,1,0,0,0,0,0,0,0
HUB-B,0,0,1,0,0,0,0,0,0,0
HUBG,0,0,0,1,0,0,0,0,0,0
HUN,0,0,1,0,0,0,0,0,3,0
HXL,0,0,0,0,0,1,1,0,0,0
HYH,0,0,1,1,20,0,0,0,0,0
HYT,0,0,1,0,0,0,0,0,0,0
IAI,0,0,0,0,1,0,0,0,0,0
IART,0,0,0,1,0,0,0,0,0,0
IAT,0,0,0,0,0,0,0,0,1,0
IBKC,0,0,0,2,0,0,0,0,0,0
IBM,0,0,4,0,5,7,7,5,2,1
IBM.MX,0,0,0,0,0,0,1,0,0,0
ICE,0,0,0,0,0,0,1,1,9,0
ICON,0,0,0,1,0,0,0,0,0,0
ICUI,0,0,0,1,0,0,0,0,0,0
IDV,0,0,1,0,0,0,0,0,1,0
IDXX,0,0,0,0,0,0,0,0,0,1
IEX,0,0,1,0,0,0,0,0,0,2
IHE,0,0,0,1,0,0,1,0,0,0
IIN,0,0,0,0,0,0,1,0,0,0
IJH,0,0,1,0,0,0,0,0,0,0
IJR,0,0,0,0,0,0,0,0,1,0
IJS,0,0,0,0,0,0,0,0,0,1
ILF,0,0,1,0,0,0,0,0,0,0
ILMN,0,0,0,0,0,0,1,0,1,0
INCY,0,0,0,0,0,1,1,0,0,0
INFY,0,0,0,0,0,2,0,3,0,0
INTC,0,0,1,0,2,3,3,8,4,14
INTU,0,0,0,0,0,0,1,0,1,2
IONS,0,0,0,0,1,0,0,0,0,0
IP,0,0,1,1,0,1,1,2,0,0
IPCM,0,0,0,1,0,0,0,0,0,0
IPHI,0,0,0,0,0,0,0,0,2,0
IQV,0,0,0,0,0,0,1,3,0,0
IR,0,0,0,0,0,2,0,1,1,0
IRBT,0,0,0,0,0,0,0,0,4,0
IRET,0,0,0,0,2,0,0,0,0,0
IRM,0,0,2,0,0,0,0,0,2,0
IRT,0,0,0,0,0,0,0,0,0,1
ISIS,0,0,1,0,0,0,0,0,0,0
ISRG,0,0,0,0,2,0,2,3,0,0
ITC,0,0,0,1,1,0,0,0,0,0
ITW,0,0,0,1,1,0,3,1,0,1
IVV,0,0,0,0,0,0,0,0,1,1
IVZ,0,0,0,1,3,0,1,2,0,0
IWD,0,0,0,1,0,0,0,0,1,0
IWF,0,0,0,0,0,0,1,1,0,0
IWM,0,0,0,0,0,0,0,0,1,1
IWN,0,0,0,0,0,0,0,0,1,0
IXP,0,0,1,0,0,0,0,0,0,0
IYE,0,0,0,0,0,0,1,0,0,0
IYT,0,0,0,1,3,2,1,0,0,0
J,0,0,0,0,0,0,0,0,0,1
JCI,0,0,0,1,2,3,0,1,1,1
JCOM,0,0,1,1,0,0,0,0,0,0
JD,0,0,0,0,0,0,0,0,1,0
JETS,0,0,0,0,0,0,1,0,0,0
JJSF,0,0,0,1,0,0,0,0,0,0
JKHY,0,0,0,0,0,1,0,0,0,0
JNJ,0,0,1,1,3,6,5,2,5,2
JNK,0,0,0,0,0,0,0,2,0,0
JPJQL,0,0,1,0,0,0,0,0,0,0
JPM,0,0,2,0,2,8,11,1,8,2
JWN,0,0,0,0,1,0,0,0,0,0
K,0,0,0,0,0,1,0,0,5,0
KAR,0,0,0,0,0,2,0,0,0,0
KDP,0,0,0,0,0,0,0,2,0,0
KEY,0,0,0,0,1,2,0,0,1,0
KEYS,0,0,1,0,0,0,0,0,2,1
KHC,0,0,0,1,2,2,3,2,1,0
KL,0,0,0,0,0,0,0,0,1,0
KLAC,0,0,0,0,0,0,0,0,6,10
KLXI,0,0,2,1,0,0,0,0,0,0
KMB,0,0,0,2,0,2,0,0,0,2
KMI,0,0,1,2,0,5,3,2,3,0
KMP,0,1,0,0,0,0,0,0,0,0
KMX,0,0,0,0,0,0,3,1,0,0
KN,0,0,0,14,3,0,11,3,0,0
KNX,0,0,0,0,0,0,0,0,1,0
KO,0,0,2,2,1,3,1,7,5,0
KORS,0,0,6,4,0,0,0,0,0,0
KR,0,0,0,0,0,0,0,6,26,1
KRFT,0,0,0,2,0,0,0,0,0,0
KSS,0,0,0,0,0,2,1,0,1,0
KSU,0,0,5,0,0,0,0,0,0,0
KTB,0,0,0,0,0,0,0,3,0,0
KWEB,0,0,0,0,0,0,0,0,2,0
KWR,0,0,0,1,0,0,0,0,0,0
KYCCF,0,0,0,0,0,1,0,1,0,0
LB,0,0,0,0,0,3,0,0,0,0
LBTYA,0,0,1,0,0,0,0,0,0,0
LBTYK,0,0,1,0,0,0,0,0,0,0
LDP,0,0,0,0,0,0,0,0,5,0
LDR,0,0,1,0,0,0,0,0,0,0
