official,ticker,tdate_purch_og,tdate_purch_edited,0. one_week,profit one_week,1. two_weeks,profit two_weeks,2. four_weeks,profit four_weeks,3. eight_weeks,profit eight_weeks,4. sixteen_weeks,profit sixteen_weeks,5. thirty_two_weeks,profit thirty_two_weeks,6. year,profit year
"Carper, Thomas R.",SPY,2020/03/23,2020/03/23,2020/03/30,0.1519,2020/04/06,0.1501,2020/04/20,0.2683,2020/05/18,0.3159,2020/07/13,0.4217,2020/11/02,0.4725,2021/03/22,0.7503
"Whitehouse, Sheldon",FB,2016/09/28,2016/09/28,2016/10/05,-0.0048,2016/10/12,0.001,2016/10/26,0.0207,2016/11/23,-0.0645,2017/01/18,-0.0101,2017/05/10,0.161,2017/09/27,0.2949
"Carper, Thomas R.",GLAD,2020/04/02,2020/04/02,2020/04/09,0.3062,2020/04/16,0.2121,2020/04/30,0.332,2020/05/28,0.4836,2020/07/23,0.4846,2020/11/12,0.6085,2021/04/01,1.0
"Gianforte, Greg",AHKSY,2020/11/13,2020/11/13,2020/11/20,0.0335,2020/11/27,0.0536,2020/12/11,0.076,2021/01/08,0.1699,2021/03/05,0.1735,2021/06/25,0.2067,2021/11/12,0.0901
"Green, Mark",MMLP,2020/08/10,2020/08/10,2020/08/17,-0.0267,2020/08/24,-0.1307,2020/09/07,-0.264,2020/10/05,-0.3013,2020/11/30,-0.104,2021/03/22,0.632,2021/08/09,0.512
"McConnell Jr., A. M.",WFC,2018/06/01,2018/06/01,2018/06/08,0.0133,2018/06/15,0.0041,2018/06/29,0.0296,2018/07/27,0.071,2018/09/21,0.0131,2019/01/11,-0.1284,2019/05/31,-0.185
"Gianforte, Greg",WFAFY,2020/03/18,2020/03/18,2020/03/25,0.0352,2020/04/01,0.119,2020/04/15,0.2028,2020/05/13,0.2411,2020/07/08,0.6456,2020/10/28,0.6974,2021/03/17,1.0347
"Green, Mark",SHLX,2020/08/28,2020/08/28,2020/09/04,-0.0472,2020/09/11,-0.0767,2020/09/25,-0.1526,2020/10/23,-0.1165,2020/12/18,-0.0675,2021/04/09,0.3061,2021/08/27,0.1234
"Evans, Dwight",IBM,2020/10/29,2020/10/29,2020/11/05,0.056,2020/11/12,0.0632,2020/11/26,0.1528,2020/12/24,0.1532,2021/02/18,0.1131,2021/06/10,0.3997,2021/10/28,0.1607
"Capito, Shelley M.",GD,2018/04/24,2018/04/24,2018/05/01,-0.1166,2018/05/08,-0.1159,2018/05/22,-0.0848,2018/06/19,-0.1396,2018/08/14,-0.1382,2018/12/04,-0.2099,2019/04/23,-0.1918
