official,ticker,buy_date,sell_date,profit
"Perdue Jr., David A.",FE,2016/05/05,2016/05/12,0.34
"Courtney, Joe",MCHP,2019/12/31,2020/01/07,2.16
"Perdue Jr., David A.",SLB,2017/10/30,2017/11/06,1.66
"Perdue Jr., David A.",BWXT,2018/12/13,2018/12/20,-3.11
"Capito, Shelley M.",CB,2018/04/24,2018/05/01,-1.34
"Perdue Jr., David A.",FDX,2019/04/03,2019/04/10,4.49
"Capito, Shelley M.",VFC,2018/04/05,2018/04/12,1.02
"Perdue Jr., David A.",MPLX,2016/04/22,2016/04/29,-0.48
"Courtney, Joe",JPM,2019/12/31,2020/01/07,-2.04
"Roberts, Pat",TJX,2017/07/24,2017/07/31,1.09
"Perdue Jr., David A.",URBN,2017/06/01,2017/06/08,-2.66
"Perdue Jr., David A.",FEYE,2016/10/19,2016/10/26,-0.39
"Roberts, Pat",FB,2018/10/12,2018/10/19,1.35
"Whitehouse, Sheldon",AXP,2014/07/29,2014/08/05,-5.42
"Perdue Jr., David A.",EPD,2018/09/18,2018/09/25,-0.34
"Whitehouse, Sheldon",DISH,2017/04/05,2017/04/12,0.03
"Perdue Jr., David A.",SUN,2018/01/31,2018/02/07,-1.47
"Perdue Jr., David A.",FEYE,2016/11/18,2016/11/25,-0.47
"Hoeven, John",ABBV,2014/04/28,2014/05/05,0.63
"Toomey, Patrick J.",BOX,2018/05/02,2018/05/09,3.39
"Courtney, Joe",NEE,2019/12/31,2020/01/07,-0.02
"Perdue Jr., David A.",EAF,2019/05/24,2019/05/31,-0.15
"Perdue Jr., David A.",BAC,2016/03/30,2016/04/06,-0.36
"Collins, Susan M.",DAL,2014/03/31,2014/04/07,0.2
"Murray, Patty",MDT,2017/03/16,2017/03/23,-1.52
"Whitehouse, Sheldon",C,2017/07/25,2017/08/01,1.07
"Perdue Jr., David A.",LGF-B,2018/12/10,2018/12/17,-1.53
"Whitehouse, Sheldon",NFLX,2016/01/05,2016/01/12,8.22
"Whitehouse, Sheldon",BABA,2014/11/10,2014/11/17,-2.95
"Toomey, Patrick J.",XLV,2015/01/30,2015/02/06,0.3
"Shalala, Donna",BOOM,2019/06/04,2019/06/11,-3.58
"Toomey, Patrick J.",ILF,2014/09/02,2014/09/09,-1.25
"Roberts, Pat",COF,2017/09/26,2017/10/03,3.26
"Perdue Jr., David A.",FEYE,2018/06/25,2018/07/02,-0.43
"Perdue Jr., David A.",MRK,2018/01/16,2018/01/23,-0.97
"Axne, Cynthia",CVET,2019/02/08,2019/02/15,-5.48
"Collins, Susan M.",DIS,2014/05/07,2014/05/14,0.12
"Perdue Jr., David A.",URBN,2019/12/03,2019/12/10,2.38
"Hoeven, John",GIS,2017/04/21,2017/04/28,-0.49
"Toomey, Patrick J.",LGP,2014/06/11,2014/06/18,-0.01
"Roberts, Pat",COST,2015/03/06,2015/03/13,-0.13
"Hoeven, John",PEP,2017/01/20,2017/01/27,1.04
"Perdue Jr., David A.",MOS,2019/04/03,2019/04/10,-0.19
"Perdue Jr., David A.",HYH,2016/02/04,2016/02/11,-1.9
"Collins, Susan M.",AXP,2014/04/23,2014/04/30,0.16
"Capito, Shelley M.",NVS,2017/09/05,2017/09/12,1.95
"Perdue Jr., David A.",DISCA,2017/11/13,2017/11/20,0.45
"Shalala, Donna",DEO,2019/02/15,2019/02/22,0.26
"Perdue Jr., David A.",BAC,2016/03/07,2016/03/14,0.12
"Perdue Jr., David A.",T,2019/01/30,2019/02/06,-0.05
"Perdue Jr., David A.",DVN,2018/03/27,2018/04/03,-1.38
"Perdue Jr., David A.",CZR,2017/07/20,2017/07/27,0.23
"Perdue Jr., David A.",LGF-B,2018/11/30,2018/12/07,-2.0
"Perdue Jr., David A.",URBN,2017/06/08,2017/06/15,1.58
