official,ticker,buy_date,sell_date,profit
"Toomey, Patrick J.",XLV,2015/01/30,2015/09/11,0.33
"Shalala, Donna",BOOM,2019/06/04,2020/01/14,-28.87
"Toomey, Patrick J.",ILF,2014/09/02,2015/04/14,-11.47
"Roberts, Pat",COF,2017/09/26,2018/05/08,10.1
"Perdue Jr., David A.",FEYE,2018/06/25,2019/02/04,2.36
"Perdue Jr., David A.",MRK,2018/01/16,2018/08/28,5.84
"Axne, Cynthia",CVET,2019/02/08,2019/09/20,-29.29
"Collins, Susan M.",DIS,2014/05/07,2014/12/17,9.66
"Perdue Jr., David A.",URBN,2019/12/03,2020/07/14,-8.64
"Hoeven, John",GIS,2017/04/21,2017/12/01,-1.87
"Toomey, Patrick J.",LGP,2014/06/11,2015/01/21,11.4
"Roberts, Pat",COST,2015/03/06,2015/10/16,2.97
"Hoeven, John",PEP,2017/01/20,2017/09/01,12.74
"Perdue Jr., David A.",MOS,2019/04/03,2019/11/13,-7.59
"Perdue Jr., David A.",HYH,2016/02/04,2016/09/15,9.44
"Collins, Susan M.",AXP,2014/04/23,2014/12/03,4.93
"Capito, Shelley M.",NVS,2017/09/05,2018/04/17,-1.87
"Perdue Jr., David A.",DISCA,2017/11/13,2018/06/25,11.17
"Shalala, Donna",DEO,2019/02/15,2019/09/27,5.75
"Perdue Jr., David A.",BAC,2016/03/07,2016/10/17,2.56
"Perdue Jr., David A.",T,2019/01/30,2019/09/11,8.53
"Perdue Jr., David A.",DVN,2018/03/27,2018/11/06,0.95
"Perdue Jr., David A.",CZR,2017/07/20,2018/03/01,13.98
"Perdue Jr., David A.",LGF-B,2018/11/30,2019/07/12,-6.68
"Perdue Jr., David A.",URBN,2017/06/08,2018/01/18,17.26
"Perdue Jr., David A.",HBI,2018/12/27,2019/08/08,3.07
"Capito, Shelley M.",CMPGY,2017/09/05,2018/04/17,-0.59
"Cassidy, William",JNJ,2016/03/31,2016/11/10,11.55
"Collins, Susan M.",PEP,2014/05/07,2014/12/17,7.05
"Perdue Jr., David A.",M,2019/08/15,2020/03/26,-9.87
"Miller, Carol D.",CVS,2019/04/11,2019/11/21,21.3
"Inhofe, James M.",RSPP,2015/08/24,2016/04/04,6.97
"Collins, Susan M.",AXP,2015/01/13,2015/08/25,-14.87
