official,ticker,buy_date,sell_date,profit
"Roberts, Pat",NFLX,2014/09/22,2014/09/29,-0.24,2014/10/20,-12.23,2014/11/17,-8.98,2015/01/12,-17.76,2015/05/04,15.32,2015/09/21,37.67
"Perdue Jr., David A.",KR,2019/08/06,2019/08/13,1.09,2019/09/03,1.67,2019/10/01,3.62,2019/11/26,4.97,2020/03/17,10.88,2020/08/04,13.16
"Courtney, Joe",TFC,2019/12/31,2020/01/07,-0.95,2020/01/28,-1.27,2020/02/25,-3.86,2020/04/21,-22.5,2020/08/11,-15.08,2020/12/29,-9.21
"Roberts, Pat",MA,2019/11/12,2019/11/19,6.12,2019/12/10,11.31,2020/01/07,24.0,2020/03/03,25.07,2020/06/23,29.79,2020/11/10,62.01
"Beyer, Donald S.",NEE,2019/12/23,2019/12/30,0.16,2020/04/13,-0.38,2020/08/03,9.62,2020/12/21,13.56
"Collins, Susan M.",NEE,2018/12/21,2018/12/28,-0.73,2019/01/18,-0.01,2019/02/15,2.08,2019/04/12,3.46,2019/08/02,8.93,2019/12/20,16.67
"Shalala, Donna",AMBA,2019/05/15,2019/05/22,-8.54,2019/06/12,-6.38,2019/07/10,-2.48,2019/09/04,10.45,2020/05/13,4.24
"Hoeven, John",MDU,2015/03/20,2015/03/27,-0.63,2015/04/17,0.75,2015/05/15,-1.27,2015/07/10,-2.55,2015/10/30,-2.94,2016/03/18,-2.52
"Perdue Jr., David A.",RF,2017/11/30,2017/12/07,0.05,2017/12/28,0.61,2018/01/25,2.61,2018/03/22,2.23,2018/07/12,0.88,2018/11/29,-0.48
"Moran, Jerry",ALL,2018/12/19,2018/12/26,-2.7,2019/01/16,3.0,2019/02/13,12.33,2019/04/10,12.98,2019/07/31,25.54,2019/12/18,28.02
"Roberts, Pat",COST,2016/11/14,2016/11/21,-0.12,2016/12/12,9.1,2017/01/09,10.78,2017/03/06,17.4,2017/06/26,8.73,2017/11/13,21.05
"Capito, Shelley M.",WEC,2018/04/24,2018/05/01,2.01,2018/05/22,-2.14,2018/06/19,-1.1,2018/08/14,4.39,2018/12/04,11.0,2019/04/23,14.05
"Shalala, Donna",TMHC,2019/01/09,2019/01/16,-0.43,2019/02/06,0.74,2019/03/06,-2.05,2019/05/01,2.38,2019/08/21,4.84,2020/01/08,5.09
"Perdue Jr., David A.",GM,2018/07/16,2018/07/23,-0.22,2018/08/13,-3.12,2018/09/10,-5.35,2018/11/05,-3.27,2019/02/25,0.89,2019/07/15,-0.26
"Perdue Jr., David A.",URBN,2019/12/19,2019/12/26,-0.24,2020/01/16,-1.34,2020/02/13,0.25,2020/04/09,-9.34,2020/07/30,-11.32,2020/12/17,-1.01
"Perdue Jr., David A.",UPS,2018/02/13,2018/02/20,-1.64,2018/03/13,2.71,2018/04/10,-0.93,2018/06/05,10.03,2018/09/25,9.73,2019/02/12,3.04
"Whitehouse, Sheldon",JCI,2017/02/23,2017/03/02,0.56,2017/03/23,-0.18,2017/04/20,-0.25,2017/06/15,-0.16,2017/10/05,-0.79,2018/02/22,-3.66
"Whitehouse, Sheldon",F,2018/05/24,2018/05/31,0.01,2018/06/21,0.19,2018/07/19,-0.71,2018/09/13,-2.19,2019/01/03,-3.66,2019/05/23,-1.79
"Perdue Jr., David A.",HYH,2016/02/03,2016/02/10,0.06,2016/03/02,3.58,2016/03/30,5.03,2016/05/25,6.02,2016/09/14,10.24,2017/02/01,14.54
"Hoeven, John",VLO,2016/04/22,2016/04/29,-1.28,2016/05/20,-5.2,2016/06/17,-8.91,2016/08/12,-6.77,2016/12/02,0.13,2017/04/21,3.99
"Perdue Jr., David A.",PYPL,2017/12/04,2017/12/11,0.95,2018/01/29,12.31,2018/03/26,5.92,2018/07/16,15.73,2018/12/03,15.84
"Perdue Jr., David A.",LYV,2016/04/22,2016/04/29,-0.05,2016/05/20,1.07,2016/06/17,1.79,2016/08/12,4.98,2016/12/02,5.73,2017/04/21,9.75
"Whitehouse, Sheldon",BA,2016/11/15,2016/11/22,0.5,2016/12/13,9.16,2017/01/10,10.94,2017/03/07,33.41,2017/06/27,51.58,2017/11/14,112.98
"Collins, Susan M.",AWK,2016/12/01,2016/12/08,0.69,2016/12/29,0.61,2017/01/26,0.3,2017/03/23,5.27,2017/07/13,6.49,2017/11/30,19.39
"Roberts, Pat",AAPL,2014/07/30,2014/08/06,-0.77,2014/08/27,0.86,2014/09/24,0.96,2014/11/19,4.14,2015/03/11,6.31,2015/07/29,6.18
"Malinowski, Tom",YEXT,2019/02/19,2019/02/26,-0.15,2019/03/19,4.09,2019/04/16,3.4,2019/06/11,1.39,2019/10/01,-2.47,2020/02/18,-1.8
"Inhofe, James M.",MRK,2015/08/12,2015/08/19,1.84,2015/09/09,-4.89,2015/10/07,-6.92,2015/12/02,-3.18,2016/03/23,-4.27,2016/08/10,4.66
"Cassidy, William",CMI,2016/01/05,2016/01/12,-3.08,2016/02/02,0.25,2016/03/01,9.76,2016/04/26,26.71,2016/08/16,37.78,2017/01/03,49.76
"Perdue Jr., David A.",MOS,2016/11/07,2016/11/14,2.82,2016/12/05,4.34,2017/02/27,6.37,2017/06/19,-2.23,2017/11/06,-2.39
"Beyer, Donald S.",CYRX,2019/12/23,2019/12/30,-0.43,2020/04/13,1.28,2020/08/03,17.2,2020/12/21,34.03
"Whitehouse, Sheldon",C,2018/05/07,2018/05/14,4.5,2018/06/04,-1.02,2018/07/02,-1.86,2018/08/27,3.39,2018/12/17,-13.48,2019/05/06,1.31
"Hoeven, John",VFC,2014/02/19,2014/02/26,2.7,2014/03/19,4.73,2014/04/16,2.87,2014/06/11,5.7,2014/10/01,8.56,2015/02/18,17.48
"Cruz, Rafael E.",BFK,2014/02/06,2014/02/13,0.09,2014/03/06,0.16,2014/04/03,0.21,2014/05/29,0.9,2014/09/18,0.46,2015/02/05,1.76
"Whitehouse, Sheldon",GOOGL,2016/04/12,2016/04/19,22.37,2016/05/10,-22.44,2016/06/07,-24.49,2016/08/02,40.18,2016/11/22,30.51,2017/04/11,81.37
"Perdue Jr., David A.",MDLZ,2017/12/26,2018/01/02,-0.68,2018/01/23,0.77,2018/02/20,0.47,2018/04/17,-1.4,2018/08/07,-0.4
"Perdue Jr., David A.",AAPL,2016/02/25,2016/03/03,1.27,2016/03/24,2.39,2016/04/21,2.55,2016/06/16,0.23,2016/10/06,4.43,2017/02/23,10.22
"Capito, Shelley M.",AXAHY,2017/09/05,2017/09/12,0.79,2017/10/03,1.48,2017/10/31,1.64,2017/12/26,1.23,2018/04/17,-0.03,2018/09/04,-3.21
"Shalala, Donna",SITE,2019/05/15,2019/05/22,0.25,2019/06/12,0.7,2019/07/10,1.6,2019/09/04,10.33,2020/05/13,20.94
"Shalala, Donna",WYND,2019/03/06,2019/03/13,-3.91,2019/04/03,-4.42,2019/05/01,-2.17,2019/06/26,-3.93,2019/10/16,0.17,2020/03/04,-5.91
"Perdue Jr., David A.",HBI,2017/11/13,2017/11/20,0.5,2017/12/11,1.7,2018/01/08,2.45,2018/03/05,1.01,2018/06/25,2.83,2018/11/12,-2.61
"Collins, Susan M.",CP,2014/02/04,2014/02/11,1.06,2014/03/04,2.28,2014/04/01,0.64,2014/05/27,3.9,2014/09/16,11.34,2015/02/03,7.39
"Roberts, Pat",BIDU,2014/07/30,2014/08/06,-5.85,2014/08/27,-4.22,2014/09/24,-1.32,2014/11/19,21.43,2015/03/11,-13.42,2015/07/29,-51.99
"Capito, Shelley M.",CB,2016/04/19,2016/04/26,-3.32,2016/05/17,2.06,2016/06/14,1.8,2016/08/09,4.46,2016/11/29,4.93,2017/04/18,15.46
"Shalala, Donna",PATK,2019/02/06,2019/02/13,1.52,2019/03/06,5.64,2019/04/03,4.62,2019/05/29,1.77,2019/09/18,1.07,2020/02/05,14.19
"Capito, Shelley M.",MSFT,2017/09/05,2017/09/12,1.37,2017/10/03,1.1,2017/10/31,10.3,2017/12/26,11.84,2018/04/17,22.28,2018/09/04,37.66
"Axne, Cynthia",JEF,2019/02/04,2019/02/11,-0.62,2019/03/04,-0.28,2019/04/01,-1.4,2019/09/16,-0.28,2020/02/03,2.76
"Murray, Patty",HSY,2017/03/16,2017/03/23,-0.81,2017/04/13,-0.44,2017/05/11,-2.62,2017/07/06,-2.34,2017/10/26,-3.99,2018/03/15,-7.41
"Perdue Jr., David A.",MRK,2017/10/27,2017/11/03,-3.3,2017/11/24,-4.59,2017/12/22,-2.58,2018/02/16,-2.6,2018/06/08,2.98,2018/10/26,10.16
"Perdue Jr., David A.",WLK,2016/01/15,2016/01/22,2.31,2016/02/12,0.03,2016/03/11,3.14,2016/05/06,3.89,2016/08/26,8.45,2017/01/13,17.42
